32-1,67235517,-31
32-2,67239423,-25
32-3,67243329,-21
32-4,67247235,-32
32-5,67251141,-57
32-6,67255047,-74
32-7,67258953,-74
32-8,67262859,-52
32-9,67266765,-20
32-10,67270671,-6
32-11,67274577,-11
32-12,67278483,-22
32-13,67282389,-29
32-14,67286295,-24
32-15,67290201,-16
32-16,67294107,-14
32-17,67298013,-19
32-18,67301919,-31
32-19,67305825,-47
32-20,67309731,-63
32-21,67313637,-79
32-22,67317543,-90
32-23,67321449,-87
32-24,67325355,-73
32-25,67329261,-60
32-26,67333167,-47
32-27,67337073,-31
32-28,67340979,-17
32-29,67344885,-15
32-30,67348791,-25
32-31,67352697,-23
32-32,67356603,-7
32-1,67360515,7
32-2,67364421,2
32-3,67368327,-31
32-4,67372233,-74
32-5,67376139,-99
32-6,67380045,-99
32-7,67383951,-79
32-8,67387857,-51
32-9,67391763,-23
32-10,67395669,5
32-11,67399575,22
32-12,67403481,29
32-13,67407387,32
32-14,67411293,31
32-15,67415199,29
32-16,67419105,17
32-17,67423011,-4
32-18,67426917,-29
32-19,67430823,-48
32-20,67434729,-49
32-21,67438635,-35
32-22,67442541,-15
32-23,67446447,0
32-24,67450353,3
32-25,67454259,-1
32-26,67458165,-1
32-27,67462071,4
32-28,67465977,3
32-29,67469883,-10
32-30,67473789,-14
32-31,67477695,-6
32-32,67481601,7
32-1,67485512,4
32-2,67489418,-19
32-3,67493324,-46
32-4,67497230,-57
32-5,67501136,-41
32-6,67505042,-16
32-7,67508948,-11
32-8,67512854,-27
32-9,67516760,-43
32-10,67520666,-48
32-11,67524572,-37
32-12,67528478,-19
32-13,67532384,-1
32-14,67536290,8
32-15,67540196,6
32-16,67544102,0
32-17,67548008,-5
32-18,67551914,-5
32-19,67555820,0
32-20,67559726,4
32-21,67563632,3
32-22,67567538,-3
32-23,67571444,-4
32-24,67575350,0
32-25,67579256,1
32-26,67583162,-1
32-27,67587068,-16
32-28,67590974,-33
32-29,67594880,-38
32-30,67598786,-36
32-31,67602692,-37
32-32,67606598,-50
32-1,67610541,-72
32-2,67614447,-83
32-3,67618353,-75
32-4,67622259,-59
32-5,67626165,-46
32-6,67630071,-49
32-7,67633977,-52
32-8,67637883,-48
32-9,67641789,-45
32-10,67645695,-50
32-11,67649601,-61
32-12,67653507,-65
32-13,67657413,-61
32-14,67661319,-54
32-15,67665225,-43
32-16,67669131,-30
32-17,67673037,-19
32-18,67676943,-12
32-19,67680849,-13
32-20,67684755,-21
32-21,67688661,-29
32-22,67692567,-34
32-23,67696473,-34
32-24,67700379,-26
32-25,67704285,-13
32-26,67708191,-3
32-27,67712097,8
32-28,67716003,20
32-29,67719909,28
32-30,67723815,22
32-31,67727721,0
32-32,67731627,-25
32-1,67735508,-27
32-2,67739414,-9
32-3,67743320,18
32-4,67747226,32
32-5,67751132,20
32-6,67755038,-1
32-7,67758944,-18
32-8,67762850,-26
32-9,67766756,-23
32-10,67770662,-13
32-11,67774568,-4
32-12,67778474,-10
32-13,67782380,-25
32-14,67786286,-40
32-15,67790192,-53
32-16,67794098,-64
32-17,67798004,-68
32-18,67801910,-71
32-19,67805816,-73
32-20,67809722,-78
32-21,67813628,-81
32-22,67817534,-87
32-23,67821440,-93
32-24,67825346,-100
32-25,67829252,-119
32-26,67833158,-124
32-27,67837064,-108
32-28,67840970,-76
32-29,67844876,-50
32-30,67848782,-47
32-31,67852688,-50
32-32,67856594,-54
32-1,67860505,-56
32-2,67864411,-41
32-3,67868317,-24
32-4,67872223,-22
32-5,67876129,-32
32-6,67880035,-56
32-7,67883941,-75
32-8,67887847,-73
32-9,67891753,-56
32-10,67895659,-38
32-11,67899565,-44
32-12,67903471,-65
32-13,67907377,-79
32-14,67911283,-82
32-15,67915189,-73
32-16,67919095,-57
32-17,67923001,-39
32-18,67926907,-29
32-19,67930813,-29
32-20,67934719,-29
32-21,67938625,-28
32-22,67942531,-25
32-23,67946437,-23
32-24,67950343,-23
32-25,67954249,-25
32-26,67958155,-27
32-27,67962061,-27
32-28,67965967,-28
32-29,67969873,-33
32-30,67973779,-43
32-31,67977685,-63
32-32,67981591,-75
32-1,67985503,-58
32-2,67989409,-21
32-3,67993315,15
32-4,67997221,22
32-5,68001127,-1
