32-1,16001808,-6697
32-2,16005714,-1438
32-3,16009620,6807
32-4,16013526,12355
32-5,16017432,2674
32-6,16021338,-10804
32-7,16025244,-11423
32-8,16029150,-7607
32-9,16033056,-3749
32-10,16036962,2023
32-11,16040868,9691
32-12,16044774,10820
32-13,16048680,-2530
32-14,16052586,-11747
32-15,16056492,-6666
32-16,16060398,1642
32-17,16064304,8252
32-18,16068210,12155
32-19,16072116,14676
32-20,16076022,8341
32-21,16079928,-7206
32-22,16083834,-12726
32-23,16087740,-7377
32-24,16091646,-386
32-25,16095552,6467
32-26,16099458,12047
32-27,16103364,14169
32-28,16107270,3280
32-29,16111176,-11011
32-30,16115082,-12070
32-31,16118988,-9387
32-32,16122894,-7922
32-1,16126805,-2402
32-2,16130711,7122
32-3,16134617,10081
32-4,16138523,-2176
32-5,16142429,-11920
32-6,16146335,-10456
32-7,16150241,-8733
32-8,16154147,-6778
32-9,16158053,-1348
32-10,16161959,6935
32-11,16165865,6137
32-12,16169771,-6359
32-13,16173677,-10107
32-14,16177583,-2667
32-15,16181489,5377
32-16,16185395,10590
32-17,16189301,13397
32-18,16193207,14525
32-19,16197113,4460
32-20,16201019,-10092
32-21,16204925,-11842
32-22,16208831,-6607
32-23,16212737,-1116
32-24,16216643,4916
32-25,16220549,11688
32-26,16224455,12462
32-27,16228361,-926
32-28,16232267,-11857
32-29,16236173,-9745
32-30,16240079,-6275
32-31,16243985,-5279
32-32,16247891,-838
32-1,16251803,9610
32-2,16255709,9527
32-3,16259615,-5430
32-4,16263521,-12012
32-5,16267427,-9443
32-6,16271333,-8172
32-7,16275239,-5640
32-8,16279145,819
32-9,16283051,8159
32-10,16286957,3140
32-11,16290863,-8651
32-12,16294769,-8268
32-13,16298675,-102
32-14,16302581,7303
32-15,16306487,11653
32-16,16310393,14434
32-17,16314299,13417
32-18,16318205,125
32-19,16322111,-11764
32-20,16326017,-10251
32-21,16329923,-4960
32-22,16333829,531
32-23,16337735,6784
32-24,16341641,13172
32-25,16345547,10388
32-26,16349453,-5188
32-27,16353359,-12103
32-28,16357265,-5891
32-29,16361171,-781
32-30,16365077,585
32-31,16368983,2710
32-32,16372889,7993
32-1,16376800,4181
32-2,16380706,-8320
32-3,16384612,-11495
32-4,16388518,-8703
32-5,16392424,-7070
32-6,16396330,-3317
32-7,16400236,4503
32-8,16404142,9334
32-9,16408048,-192
32-10,16411954,-10440
32-11,16415860,-7514
32-12,16419766,46
32-13,16423672,6935
32-14,16427578,11583
32-15,16431484,15041
32-16,16435390,10980
32-17,16439296,-4411
32-18,16443202,-12228
32-19,16447108,-7770
32-20,16451014,-1498
32-21,16454920,4538
32-22,16458826,10438
32-23,16462732,14579
32-24,16466638,6479
32-25,16470544,-8693
32-26,16474450,-11792
32-27,16478356,-5399
32-28,16482262,1345
32-29,16486168,4677
32-30,16490074,6089
32-31,16493980,5494
32-32,16497886,-3455
32-1,16501829,-10860
32-2,16505735,-10046
32-3,16509641,-8609
32-4,16513547,-6449
32-5,16517453,-1734
32-6,16521359,6545
32-7,16525265,8073
32-8,16529171,-4079
32-9,16533077,-10864
32-10,16536983,-5628
32-11,16540889,1979
32-12,16544795,8387
32-13,16548701,12615
32-14,16552607,15297
32-15,16556513,7437
32-16,16560419,-8106
32-17,16564325,-11844
32-18,16568231,-6180
32-19,16572137,-115
32-20,16576043,5814
32-21,16579949,11835
32-22,16583855,13895
32-23,16587761,2058
32-24,16591667,-11177
32-25,16595573,-10010
32-26,16599479,-3801
32-27,16603385,2534
32-28,16607291,9039
32-29,16611197,11476
32-30,16615103,6164
32-31,16619009,-5462
32-32,16622915,-11402
32-1,16626826,-10097
32-2,16630732,-8458
32-3,16634638,-6034
32-4,16638544,-270
32-5,16642450,7800
32-6,16646356,5098
32-7,16650262,-7428
32-8,16654168,-10381
32-9,16658074,-4780
32-10,16661980,1361
32-11,16665886,7052
32-12,16669792,12395
32-13,16673698,14367
32-14,16677604,2855
32-15,16681510,-10728
32-16,16685416,-10237
32-17,16689322,-3810
32-18,16693228,2509
32-19,16697134,8369
32-20,16701040,13824
32-21,16704946,12105
32-22,16708852,-2636
32-23,16712758,-12196
32-24,16716664,-8368
32-25,16720570,-1689
32-26,16724476,4510
32-27,16728382,10392
32-28,16732288,14740
32-29,16736194,7303
32-30,16740100,-8106
32-31,16744006,-12235
32-32,16747912,-9132
32-1,16751793,-6371
32-2,16755699,-1487
32-3,16759605,6386
32-4,16763511,11893
32-5,16767417,2568
32-6,16771323,-10345
32-7,16775229,-10892
32-8,16779135,-7587
32-9,16783041,-4181
32-10,16786947,1577
32-11,16790853,9606
32-12,16794759,11164
32-13,16798665,-1849
32-14,16802571,-11215
32-15,16806477,-7295
32-16,16810383,-601
32-17,16814289,5521
32-18,16818195,10776
32-19,16822101,14946
32-20,16826007,9038
32-21,16829913,-6592
32-22,16833819,-11810
32-23,16837725,-6117
32-24,16841631,584
32-25,16845537,6712
32-26,16849443,12118
32-27,16853349,14543
32-28,16857255,3855
32-29,16861161,-10330
32-30,16865067,-11470
32-31,16868973,-8953
32-32,16872879,-7594
32-1,16876791,-2129
32-2,16880697,7549
32-3,16884603,10716
32-4,16888509,-1490
32-5,16892415,-11338
32-6,16896321,-9928
32-7,16900227,-7771
32-8,16904133,-4927
32-9,16908039,1279
32-10,16911945,9620
32-11,16915851,8020
32-12,16919757,-5548
32-13,16923663,-10572
32-14,16927569,-5131
32-15,16931475,1295
32-16,16935381,7154
32-17,16939287,12219
32-18,16943193,14831
32-19,16947099,4876
32-20,16951005,-9650
32-21,16954911,-10212
32-22,16958817,-2450
32-23,16962723,5291
32-24,16966629,10783
32-25,16970535,14454
32-26,16974441,13067
32-27,16978347,-548
32-28,16982253,-11909
32-29,16986159,-10760
32-30,16990065,-8198
32-31,16993971,-8232
32-32,16997877,-5326
32-1,17001789,3970
32-2,17005695,5785
32-3,17009601,-5614
32-4,17013507,-11072
32-5,17017413,-8681
32-6,17021319,-6368
32-7,17025225,-2404
32-8,17029131,4779
32-9,17033037,11705
32-10,17036943,5075
32-11,17040849,-8456
32-12,17044755,-8992
32-13,17048661,-1042
32-14,17052567,6173
32-15,17056473,9907
32-16,17060379,12354
32-17,17064285,12359
32-18,17068191,495
32-19,17072097,-11084
32-20,17076003,-9805
32-21,17079909,-4501
32-22,17083815,1046
32-23,17087721,7245
32-24,17091627,13558
32-25,17095533,10775
32-26,17099439,-4807
32-27,17103345,-11214
32-28,17107251,-3796
32-29,17111157,1906
32-30,17115063,2935
32-31,17118969,4665
32-32,17122875,9579
32-1,17126847,5063
32-2,17130753,-8202
32-3,17134659,-11597
32-4,17138565,-8840
32-5,17142471,-7609
32-6,17146377,-4354
32-7,17150283,3219
32-8,17154189,8401
32-9,17158095,-324
32-10,17162001,-10078
32-11,17165907,-7157
32-12,17169813,-59
32-13,17173719,6111
32-14,17177625,10754
32-15,17181531,14788
32-16,17185437,10935
32-17,17189343,-4344
32-18,17193249,-12165
32-19,17197155,-8328
32-20,17201061,-2708
32-21,17204967,3334
32-22,17208873,9712
32-23,17212779,14314
32-24,17216685,6536
32-25,17220591,-8491
32-26,17224497,-11377
32-27,17228403,-3950
32-28,17232309,4028
32-29,17236215,7435
32-30,17240121,8524
32-31,17244027,7836
32-32,17247933,-2203
32-1,17251784,-11020
32-2,17255690,-10378
32-3,17259596,-8751
32-4,17263502,-6747
32-5,17267408,-2170
32-6,17271314,5976
32-7,17275220,7573
32-8,17279126,-4264
32-9,17283032,-10437
32-10,17286938,-4225
32-11,17290844,3865
32-12,17294750,9670
32-13,17298656,12757
32-14,17302562,14694
32-15,17306468,6908
32-16,17310374,-8400
32-17,17314280,-12436
32-18,17318186,-7525
32-19,17322092,-2161
32-20,17325998,3764
32-21,17329904,10461
32-22,17333810,13235
32-23,17337716,1759
32-24,17341622,-11355
32-25,17345528,-9831
32-26,17349434,-2514
32-27,17353340,4954
32-28,17357246,11013
32-29,17361152,12466
32-30,17365058,7039
32-31,17368964,-5209
32-32,17372870,-12005
32-1,17376812,-10664
32-2,17380718,-9314
32-3,17384624,-7729
32-4,17388530,-2712
32-5,17392436,5055
32-6,17396342,3357
32-7,17400248,-7795
32-8,17404154,-10344
32-9,17408060,-4397
32-10,17411966,2545
32-11,17415872,8420
32-12,17419778,12987
32-13,17423684,14318
32-14,17427590,2818
32-15,17431496,-10852
32-16,17435402,-10797
32-17,17439308,-4964
32-18,17443214,736
32-19,17447120,6581
32-20,17451026,12788
32-21,17454932,11879
32-22,17458838,-2639
32-23,17462744,-12372
32-24,17466650,-8763
32-25,17470556,-2437
32-26,17474462,3485
32-27,17478368,9457
32-28,17482274,14225
32-29,17486180,7128
32-30,17490086,-8367
32-31,17493992,-12613
32-32,17497898,-9546
32-1,17501779,-7014
32-2,17505685,-2383
32-3,17509591,5333
32-4,17513497,11112
32-5,17517403,2410
32-6,17521309,-10369
32-7,17525215,-11017
32-8,17529121,-7289
32-9,17533027,-3208
32-10,17536933,2765
32-11,17540839,10377
32-12,17544745,11423
32-13,17548651,-1952
32-14,17552557,-11821
32-15,17556463,-8668
32-16,17560369,-2736
32-17,17564275,3209
32-18,17568181,9085
32-19,17572087,14179
32-20,17575993,8832
32-21,17579899,-6749
32-22,17583805,-12108
32-23,17587711,-6638
32-24,17591617,-254
32-25,17595523,5739
32-26,17599429,11460
32-27,17603335,14289
32-28,17607241,3645
32-29,17611147,-10562
32-30,17615053,-11601
32-31,17618959,-9076
32-32,17622865,-7667
32-1,17626777,-2115
32-2,17630683,7504
32-3,17634589,10595
32-4,17638495,-1665
32-5,17642401,-11591
32-6,17646307,-10185
32-7,17650213,-8104
32-8,17654119,-5550
32-9,17658025,357
32-10,17661931,8653
32-11,17665837,7353
32-12,17669743,-5876
32-13,17673649,-10860
32-14,17677555,-5501
32-15,17681461,870
32-16,17685367,6714
32-17,17689273,11927
32-18,17693179,14707
32-19,17697085,4854
32-20,17700991,-9628
32-21,17704897,-10799
32-22,17708803,-4635
32-23,17712709,1665
32-24,17716615,7552
32-25,17720521,13171
32-26,17724427,13041
32-27,17728333,-550
32-28,17732239,-11746
32-29,17736145,-10104
32-30,17740051,-7139
32-31,17743957,-6692
32-32,17747863,-3029
32-1,17751896,6883
32-2,17755802,7946
32-3,17759708,-5155
32-4,17763614,-11297
32-5,17767520,-8901
32-6,17771426,-7110
