32-1,12383529,3036
32-2,12387435,131
32-3,12391341,-3885
32-4,12395247,-6285
32-5,12399153,-5392
32-6,12403059,-1271
32-7,12406965,3205
32-8,12410871,4699
32-9,12414777,2559
32-10,12418683,-1400
32-11,12422589,-3881
32-12,12426495,-2963
32-13,12430401,608
32-14,12434307,4626
32-15,12438213,6428
32-16,12442119,4928
32-17,12446025,1069
32-18,12449931,-2985
32-19,12453837,-4845
32-20,12457743,-3496
32-21,12461649,428
32-22,12465555,4564
32-23,12469461,5902
32-24,12473367,3706
32-25,12477273,-413
32-26,12481179,-3829
32-27,12485085,-4540
32-28,12488991,-2669
32-29,12492897,563
32-30,12496803,2996
32-31,12500709,3175
32-32,12504615,1315
32-1,12508466,-1903
32-2,12512372,-4963
32-3,12516278,-6155
32-4,12520184,-4268
32-5,12524090,162
32-6,12527996,4049
32-7,12531902,4533
32-8,12535808,1530
32-9,12539714,-2563
32-10,12543620,-4494
32-11,12547526,-2907
32-12,12551432,1102
32-13,12555338,5038
32-14,12559244,6207
32-15,12563150,3978
32-16,12567056,-241
32-17,12570962,-3868
32-18,12574868,-4683
32-19,12578774,-2307
32-20,12582680,2056
32-21,12586586,5543
32-22,12590492,5750
32-23,12594398,2666
32-24,12598304,-1772
32-25,12602210,-4590
32-26,12606116,-4128
32-27,12610022,-831
32-28,12613928,3028
32-29,12617834,4524
32-30,12621740,2934
32-31,12625646,-456
32-32,12629552,-4058
32-1,12633585,-6206
32-2,12637491,-6046
32-3,12641397,-3184
32-4,12645303,1345
32-5,12649209,4306
32-6,12653115,3738
32-7,12657021,283
32-8,12660927,-3194
32-9,12664833,-3715
32-10,12668739,-1027
32-11,12672645,3151
32-12,12676551,6157
32-13,12680457,5956
32-14,12684363,2788
32-15,12688269,-1432
32-16,12692175,-4155
32-17,12696081,-3812
32-18,12699987,-598
32-19,12703893,3698
32-20,12707799,6140
32-21,12711705,5055
32-22,12715611,1315
32-23,12719517,-2759
32-24,12723423,-4628
32-25,12727329,-3096
32-26,12731235,892
32-27,12735141,4655
32-28,12739047,5479
32-29,12742953,3139
32-30,12746859,-878
32-31,12750765,-4720
32-32,12754671,-6745
32-1,12758461,-6089
32-2,12762367,-2602
32-3,12766273,1751
32-4,12770179,4022
32-5,12774085,2775
32-6,12777991,-1015
32-7,12781897,-4194
32-8,12785803,-4240
32-9,12789709,-1145
32-10,12793615,3180
32-11,12797521,5840
32-12,12801427,5091
32-13,12805333,1538
32-14,12809239,-2622
32-15,12813145,-4733
32-16,12817051,-3613
32-17,12820957,127
32-18,12824863,4320
32-19,12828769,5987
32-20,12832675,4102
32-21,12836581,18
32-22,12840487,-3610
32-23,12844393,-4446
32-24,12848299,-2176
32-25,12852205,1972
32-26,12856111,5336
32-27,12860017,5733
32-28,12863923,3233
32-29,12867829,-1034
32-30,12871735,-4988
32-31,12875641,-6610
32-32,12879547,-4910
32-1,12883458,-471
32-2,12887364,3684
32-3,12891270,4765
32-4,12895176,2277
32-5,12899082,-2248
32-6,12902988,-5648
32-7,12906894,-5735
32-8,12910800,-2496
32-9,12914706,2213
32-10,12918612,5041
32-11,12922518,4142
32-12,12926424,418
32-13,12930330,-3429
32-14,12934236,-4562
32-15,12938142,-2414
32-16,12942048,1681
32-17,12945954,5216
32-18,12949860,5784
32-19,12953766,3135
32-20,12957672,-1138
32-21,12961578,-4420
32-22,12965484,-4730
32-23,12969390,-1945
32-24,12973296,2489
32-25,12977202,5533
32-26,12981108,5263
32-27,12985014,2272
32-28,12988920,-2045
32-29,12992826,-5491
32-30,12996732,-6413
32-31,13000638,-4150
32-32,13004544,410
32-1,13008578,3821
32-2,13012484,3707
32-3,13016390,794
32-4,13020296,-2293
32-5,13024202,-2786
32-6,13028108,-301
32-7,13032014,3352
32-8,13035920,5833
32-9,13039826,5615
32-10,13043732,3137
32-11,13047638,-414
32-12,13051544,-4012
32-13,13055450,-6631
32-14,13059356,-7402
32-15,13063262,-5817
32-16,13067168,-3005
32-17,13071074,-1001
32-18,13074980,-856
32-19,13078886,-2303
32-20,13082792,-3444
32-21,13086698,-2516
32-22,13090604,611
32-23,13094510,4333
32-24,13098416,5955
32-25,13102322,4527
32-26,13106228,1069
32-27,13110134,-2755
32-28,13114040,-5348
32-29,13117946,-5744
32-30,13121852,-3513
32-31,13125758,161
32-32,13129664,2854
32-1,13133454,3002
32-2,13137360,259
32-3,13141266,-3669
32-4,13145172,-5884
32-5,13149078,-4696
32-6,13152984,-406
32-7,13156890,3969
32-8,13160796,5256
32-9,13164702,2859
32-10,13168608,-1391
32-11,13172514,-4224
32-12,13176420,-3482
32-13,13180326,257
32-14,13184232,4239
32-15,13188138,5721
32-16,13192044,4644
32-17,13195950,2951
32-18,13199856,2262
32-19,13203762,2844
32-20,13207668,3711
32-21,13211574,4617
32-22,13215480,5361
32-23,13219386,5025
32-24,13223292,3331
32-25,13227198,81
32-26,13231104,-3738
32-27,13235010,-6305
32-28,13238916,-7080
32-29,13242822,-6176
32-30,13246728,-4545
32-31,13250634,-3344
32-32,13254540,-3001
32-1,13258451,-3789
32-2,13262357,-4955
32-3,13266263,-4986
32-4,13270169,-2777
32-5,13274075,1304
32-6,13277981,4693
32-7,13281887,4839
32-8,13285793,1642
32-9,13289699,-2473
32-10,13293605,-4352
32-11,13297511,-2793
32-12,13301417,1207
32-13,13305323,5222
32-14,13309229,6471
32-15,13313135,4249
32-16,13317041,30
32-17,13320947,-3520
32-18,13324853,-4183
32-19,13328759,-1728
32-20,13332665,2561
32-21,13336571,5880
32-22,13340477,5992
32-23,13344383,2939
32-24,13348289,-1497
32-25,13352195,-4488
32-26,13356101,-4336
32-27,13360007,-1258
32-28,13363913,2636
32-29,13367819,4352
32-30,13371725,2982
32-31,13375631,-288
32-32,13379537,-3892
32-1,13383602,-6101
32-2,13387508,-6014
32-3,13391414,-3251
32-4,13395320,1232
32-5,13399226,4274
32-6,13403132,3853
32-7,13407038,472
32-8,13410944,-3073
32-9,13414850,-3764
32-10,13418756,-1197
32-11,13422662,3001
32-12,13426568,6131
32-13,13430474,6139
32-14,13434380,3135
32-15,13438286,-1194
32-16,13442192,-4303
32-17,13446098,-4438
32-18,13450004,-1491
32-19,13453910,2952
32-20,13457816,5839
32-21,13461722,5208
32-22,13465628,1634
32-23,13469534,-2664
32-24,13473440,-4907
32-25,13477346,-3631
32-26,13481252,334
32-27,13485158,4315
32-28,13489064,5419
32-29,13492970,3260
32-30,13496876,-718
32-31,13500782,-4572
32-32,13504688,-6534
32-1,13508447,-5795
32-2,13512353,-2269
32-3,13516259,2078
32-4,13520165,4500
32-5,13524071,3552
32-6,13527977,-380
32-7,13531883,-4538
32-8,13535789,-6063
32-9,13539695,-4017
32-10,13543601,533
32-11,13547507,4445
32-12,13551413,4924
32-13,13555319,1961
32-14,13559225,-2135
32-15,13563131,-4138
