32-1,41761085,6461
32-2,41764991,7796
32-3,41768897,7380
32-4,41772803,3887
32-5,41776709,-1767
32-6,41780615,-5850
32-7,41784521,-5966
32-8,41788427,-1837
32-9,41792333,3480
32-10,41796239,6401
32-11,41800145,4136
32-12,41804051,-3988
32-13,41807957,-12705
32-14,41811863,-15448
32-15,41815769,-9911
32-16,41819675,1038
32-17,41823581,10281
32-18,41827487,12304
32-19,41831393,5682
32-20,41835299,-6127
32-21,41839205,-14725
32-22,41843111,-14864
32-23,41847017,-6554
32-24,41850923,5933
32-25,41854829,13412
32-26,41858735,11053
32-27,41862641,1830
32-28,41866547,-6565
32-29,41870453,-7391
32-30,41874359,-2040
32-31,41878265,4812
32-32,41882171,9676
32-1,41886113,10733
32-2,41890019,8280
32-3,41893925,3069
32-4,41897831,-2704
32-5,41901737,-6008
32-6,41905643,-4948
32-7,41909549,-90
32-8,41913455,4885
32-9,41917361,6023
32-10,41921267,402
32-11,41925173,-10365
32-12,41929079,-18268
32-13,41932985,-17173
32-14,41936891,-7017
32-15,41940797,6476
32-16,41944703,15152
32-17,41948609,14852
32-18,41952515,5675
32-19,41956421,-6555
32-20,41960327,-13342
32-21,41964233,-11316
32-22,41968139,-2150
32-23,41972045,8536
32-24,41975951,13785
32-25,41979857,9908
32-26,41983763,-964
32-27,41987669,-10819
32-28,41991575,-12847
32-29,41995481,-6677
32-30,41999387,3829
32-31,42003293,12052
32-32,42007199,13984
32-1,42011080,9522
32-2,42014986,1296
32-3,42018892,-5052
32-4,42022798,-7124
32-5,42026704,-4182
32-6,42030610,2702
32-7,42034516,8597
32-8,42038422,9862
32-9,42042328,4797
32-10,42046234,-3644
32-11,42050140,-8989
32-12,42054046,-8424
32-13,42057952,-2783
32-14,42061858,3399
32-15,42065764,4582
32-16,42069670,-1254
32-17,42073576,-12206
32-18,42077482,-20466
32-19,42081388,-19018
32-20,42085294,-8612
32-21,42089200,5525
32-22,42093106,16205
32-23,42097012,19116
32-24,42100918,15208
32-25,42104824,7596
32-26,42108730,1210
32-27,42112636,-1404
32-28,42116542,-685
32-29,42120448,2737
32-30,42124354,6293
32-31,42128260,6978
32-32,42132166,2061
32-1,42136072,-6996
32-2,42139978,-13796
32-3,42143884,-13697
32-4,42147790,-5981
32-5,42151696,4608
32-6,42155602,11172
32-7,42159508,10846
32-8,42163414,4619
32-9,42167320,-2758
32-10,42171226,-6494
32-11,42175132,-5885
32-12,42179038,-1382
32-13,42182944,4285
32-14,42186850,6868
32-15,42190756,3383
32-16,42194662,-5506
32-17,42198568,-13317
32-18,42202474,-14430
32-19,42206380,-7846
32-20,42210286,2833
32-21,42214192,11056
32-22,42218098,12442
32-23,42222004,5717
32-24,42225910,-5155
32-25,42229816,-12083
32-26,42233722,-11199
32-27,42237628,-3655
32-28,42241534,6107
32-29,42245440,12312
32-30,42249346,12581
32-31,42253252,6952
32-32,42257158,-845
32-1,42261076,-5709
32-2,42264982,-6009
32-3,42268888,-1640
32-4,42272794,4681
32-5,42276700,8711
32-6,42280606,8002
32-7,42284512,2589
32-8,42288418,-3474
32-9,42292324,-6227
32-10,42296230,-4551
32-11,42300136,476
32-12,42304042,4937
32-13,42307948,5119
32-14,42311854,-913
32-15,42315760,-10424
32-16,42319666,-16416
32-17,42323572,-14647
32-18,42327478,-5395
32-19,42331384,6201
32-20,42335290,13150
32-21,42339196,11830
32-22,42343102,2491
32-23,42347008,-8505
32-24,42350914,-13283
32-25,42354820,-9964
32-26,42358726,-738
32-27,42362632,8569
32-28,42366538,12488
32-29,42370444,10586
32-30,42374350,5183
32-31,42378256,685
32-32,42382162,-908
32-1,42386073,-863
32-2,42389979,782
32-3,42393885,3312
32-4,42397791,4930
32-5,42401697,2813
32-6,42405603,-3857
32-7,42409509,-10369
32-8,42413415,-11755
32-9,42417321,-6452
32-10,42421227,2270
32-11,42425133,8266
32-12,42429039,7492
32-13,42432945,-734
32-14,42436851,-10979
32-15,42440757,-15343
32-16,42444663,-10979
32-17,42448569,-24
32-18,42452475,10913
32-19,42456381,15396
32-20,42460287,11068
32-21,42464193,35
32-22,42468099,-10289
32-23,42472005,-13358
32-24,42475911,-7923
32-25,42479817,2701
32-26,42483723,11049
32-27,42487629,11573
32-28,42491535,5906
32-29,42495441,-211
32-30,42499347,-1522
32-31,42503253,944
32-32,42507159,3433
32-1,42511071,4927
32-2,42514977,5454
32-3,42518883,5182
32-4,42522789,2257
32-5,42526695,-3008
32-6,42530601,-7138
32-7,42534507,-7315
32-8,42538413,-2859
32-9,42542319,2993
32-10,42546225,6216
32-11,42550131,3808
32-12,42554037,-4760
32-13,42557943,-13776
32-14,42561849,-16313
32-15,42565755,-10190
32-16,42569661,1313
32-17,42573567,10532
32-18,42577473,11784
32-19,42581379,4021
32-20,42585285,-8431
32-21,42589191,-16449
32-22,42593097,-14988
32-23,42597003,-5033
32-24,42600909,8391
32-25,42604815,16613
32-26,42608721,15495
32-27,42612627,7946
32-28,42616533,280
32-29,42620439,-2070
32-30,42624345,-118
32-31,42628251,3177
32-32,42632157,6077
32-1,42636038,7024
32-2,42639944,5517
32-3,42643850,1348
32-4,42647756,-3770
32-5,42651662,-6859
32-6,42655568,-5801
32-7,42659474,-845
32-8,42663380,4553
32-9,42667286,6567
32-10,42671192,2272
32-11,42675098,-7236
32-12,42679004,-14895
32-13,42682910,-15056
32-14,42686816,-7216
32-15,42690722,4036
32-16,42694628,11364
32-17,42698534,10468
32-18,42702440,639
32-19,42706346,-12252
32-20,42710252,-18623
32-21,42714158,-14345
32-22,42718064,-1791
32-23,42721970,11599
32-24,42725876,17357
32-25,42729782,11513
32-26,42733688,-2230
32-27,42737594,-13779
32-28,42741500,-15166
32-29,42745406,-6693
32-30,42749312,5992
32-31,42753218,15092
32-32,42757124,16474
32-1,42761066,11631
32-2,42764972,4241
32-3,42768878,-1067
32-4,42772784,-3345
32-5,42776690,-2237
32-6,42780596,2162
32-7,42784502,5980
32-8,42788408,5477
32-9,42792314,-1767
32-10,42796220,-12265
32-11,42800126,-18046
32-12,42804032,-14765
32-13,42807938,-3550
32-14,42811844,8951
32-15,42815750,15443
32-16,42819656,12800
32-17,42823562,2256
32-18,42827468,-8857
32-19,42831374,-12953
32-20,42835280,-8625
32-21,42839186,1455
32-22,42843092,10933
32-23,42846998,14041
32-24,42850904,8590
32-25,42854810,-3052
32-26,42858716,-12536
32-27,42862622,-13746
32-28,42866528,-6422
32-29,42870434,5252
32-30,42874340,13944
32-31,42878246,15311
32-32,42882152,8800
32-1,42886064,-1710
32-2,42889970,-9012
32-3,42893876,-9722
32-4,42897782,-3895
32-5,42901688,4977
32-6,42905594,10805
32-7,42909500,10578
32-8,42913406,4607
32-9,42917312,-2829
32-10,42921218,-6760
32-11,42925124,-6022
32-12,42929030,-1070
32-13,42932936,4951
32-14,42936842,7648
32-15,42940748,3921
32-16,42944654,-5622
32-17,42948560,-14088
32-18,42952466,-15332
32-19,42956372,-8184
32-20,42960278,3548
32-21,42964184,12535
32-22,42968090,13637
32-23,42971996,5625
32-24,42975902,-6623
32-25,42979808,-13896
32-26,42983714,-12121
32-27,42987620,-3245
32-28,42991526,7407
32-29,42995432,13685
32-30,42999338,13479
32-31,43003244,7424
32-32,43007150,-499
32-1,43011061,-5334
32-2,43014967,-5630
32-3,43018873,-1313
32-4,43022779,4933
32-5,43026685,8889
32-6,43030591,7850
32-7,43034497,1678
32-8,43038403,-5183
32-9,43042309,-8279
32-10,43046215,-6088
32-11,43050121,221
32-12,43054027,6095
32-13,43057933,7161
32-14,43061839,1218
32-15,43065745,-8508
32-16,43069651,-14285
32-17,43073557,-12491
32-18,43077463,-5297
32-19,43081369,928
32-20,43085275,585
32-21,43089181,-6141
32-22,43093087,-15513
32-23,43096993,-20542
32-24,43100899,-16288
32-25,43104805,-4845
32-26,43108711,9302
32-27,43112617,20376
32-28,43116523,23435
32-29,43120429,19313
32-30,43124335,12242
32-31,43128241,7159
32-32,43132147,5379
32-1,43136059,4161
32-2,43139965,3178
32-3,43143871,2934
32-4,43147777,3157
32-5,43151683,2034
32-6,43155589,-1778
32-7,43159495,-5903
32-8,43163401,-7149
32-9,43167307,-3832
32-10,43171213,1811
32-11,43175119,5671
32-12,43179025,5007
32-13,43182931,-1479
32-14,43186837,-10208
32-15,43190743,-14845
32-16,43194649,-12102
32-17,43198555,-2871
32-18,43202461,7133
32-19,43206367,11968
32-20,43210273,8968
32-21,43214179,-508
32-22,43218085,-9817
32-23,43221991,-12737
32-24,43225897,-7832
32-25,43229803,1758
32-26,43233709,8868
32-27,43237615,8415
32-28,43241521,2021
32-29,43245427,-4609
32-30,43249333,-5744
32-31,43253239,-2010
32-32,43257145,2607
32-1,43261057,6190
32-2,43264963,7748
32-3,43268869,7396
32-4,43272775,4169
32-5,43276681,-1039
32-6,43280587,-4823
32-7,43284493,-5142
32-8,43288399,-1703
32-9,43292305,2905
32-10,43296211,5317
32-11,43300117,2607
32-12,43304023,-5911
32-13,43307929,-14706
32-14,43311835,-17056
32-15,43315741,-10737
32-16,43319647,952
32-17,43323553,10739
32-18,43327459,13383
32-19,43331365,7568
32-20,43335271,-3520
32-21,43339177,-12008
32-22,43343083,-12851
32-23,43346989,-5804
32-24,43350895,5483
32-25,43354801,12426
32-26,43358707,10286
32-27,43362613,1717
32-28,43366519,-6214
32-29,43370425,-7106
32-30,43374331,-2188
32-31,43378237,4128
32-32,43382143,8530
32-1,43386054,9279
32-2,43389960,6861
32-3,43393866,2142
32-4,43397772,-3002
32-5,43401678,-6048
32-6,43405584,-5270
32-7,43409490,-765
32-8,43413396,4492
32-9,43417302,6823
32-10,43421208,2861
32-11,43425114,-6862
32-12,43429020,-15297
32-13,43432926,-16197
32-14,43436832,-8461
32-15,43440738,3449
32-16,43444644,11987
32-17,43448550,12619
32-18,43452456,4684
32-19,43456362,-6650
32-20,43460268,-13110
32-21,43464174,-11194
32-22,43468080,-2413
32-23,43471986,7934
32-24,43475892,13231
32-25,43479798,9703
32-26,43483704,-834
32-27,43487610,-10615
32-28,43491516,-12706
32-29,43495422,-6498
32-30,43499328,4043
32-31,43503234,12111
32-32,43507140,13646
32-1,43511052,8640
32-2,43514958,-153
32-3,43518864,-6900
32-4,43522770,-8920
32-5,43526676,-5367
32-6,43530582,2408
32-7,43534488,8958
32-8,43538394,10287
32-9,43542300,4806
32-10,43546206,-4323
32-11,43550112,-10444
32-12,43554018,-10356
32-13,43557924,-4263
32-14,43561830,4268
32-15,43565736,9608
32-16,43569642,8019
32-17,43573548,-993
32-18,43577454,-11299
32-19,43581360,-15141
32-20,43585266,-10414
32-21,43589172,269
32-22,43593078,10029
32-23,43596984,12745
32-24,43600890,6113
32-25,43604796,-6934
32-26,43608702,-16900
32-27,43612608,-17037
32-28,43616514,-7531
32-29,43620420,6254
32-30,43624326,16033
32-31,43628232,17177
32-32,43632138,9326
32-1,43636050,-2905
32-2,43639956,-11290
32-3,43643862,-11799
32-4,43647768,-4516
32-5,43651674,6299
32-6,43655580,13378
32-7,43659486,13338
32-8,43663392,6996
32-9,43667298,-844
32-10,43671204,-5060
32-11,43675110,-4811
32-12,43679016,-413
32-13,43682922,5265
32-14,43686828,7753
32-15,43690734,3992
32-16,43694640,-5546
32-17,43698546,-14137
32-18,43702452,-15621
32-19,43706358,-8757
32-20,43710264,2799
32-21,43714170,11780
32-22,43718076,13038
32-23,43721982,5293
32-24,43725888,-6815
32-25,43729794,-14154
32-26,43733700,-12461
32-27,43737606,-3538
32-28,43741512,7329
32-29,43745418,13869
32-30,43749324,13825
32-31,43753230,7816
32-32,43757136,-181
32-1,43761047,-5117
32-2,43764953,-5490
32-3,43768859,-1198
32-4,43772765,5207
32-5,43776671,9447
32-6,43780577,8672
32-7,43784483,2595
32-8,43788389,-4308
32-9,43792295,-7426
32-10,43796201,-5298
32-11,43800107,716
32-12,43804013,5894
32-13,43807919,5921
32-14,43811825,-1295
32-15,43815731,-12470
32-16,43819637,-19316
32-17,43823543,-16825
32-18,43827449,-5691
32-19,43831355,7874
32-20,43835261,15681
32-21,43839167,13855
32-22,43843073,3373
32-23,43846979,-8509
32-24,43850885,-13583
32-25,43854791,-10140
32-26,43858697,-437
32-27,43862603,9334
32-28,43866509,13566
32-29,43870415,11551
32-30,43874321,5157
32-31,43878227,-638
32-32,43882133,-2973
32-1,43886045,-2475
32-2,43889951,862
32-3,43893857,5119
32-4,43897763,7467
32-5,43901669,5645
32-6,43905575,-558
32-7,43909481,-6409
32-8,43913387,-7869
32-9,43917293,-4381
32-10,43921199,1762
32-11,43925105,6103
32-12,43929011,5373
32-13,43932917,-1787
32-14,43936823,-11328
32-15,43940729,-16014
32-16,43944635,-12388
32-17,43948541,-1800
32-18,43952447,9174
32-19,43956353,13833
32-20,43960259,9458
32-21,43964165,-1971
32-22,43968071,-12585
32-23,43971977,-15276
32-24,43975883,-8774
32-25,43979789,3093
