32-1,35004438,6837
32-2,35008344,-6531
32-3,35012250,-19651
32-4,35016156,-17120
32-5,35020062,-3855
32-6,35023968,6623
32-7,35027874,7389
32-8,35031780,8434
32-9,35035686,4675
32-10,35039592,-12353
32-11,35043498,-15329
32-12,35047404,700
32-13,35051310,8958
32-14,35055216,6931
32-15,35059122,6771
32-16,35063028,8665
32-17,35066934,-360
32-18,35070840,-16601
32-19,35074746,-17036
32-20,35078652,-2741
32-21,35082558,7180
32-22,35086464,7104
32-23,35090370,7493
32-24,35094276,7708
32-25,35098182,-6746
32-26,35102088,-17675
32-27,35105994,-5548
32-28,35109900,7343
32-29,35113806,7188
32-30,35117712,5022
32-31,35121618,7496
32-32,35125524,3791
32-1,35129436,-11080
32-2,35133342,-19343
32-3,35137248,-17070
32-4,35141154,-8926
32-5,35145060,2896
32-6,35148966,8846
32-7,35152872,10203
32-8,35156778,1147
32-9,35160684,-11472
32-10,35164590,-2759
32-11,35168496,9627
32-12,35172402,8494
32-13,35176308,6550
32-14,35180214,7763
32-15,35184120,8335
32-16,35188026,-4133
32-17,35191932,-17468
32-18,35195838,-6685
32-19,35199744,8307
32-20,35203650,8634
32-21,35207556,5810
32-22,35211462,8608
32-23,35215368,5773
32-24,35219274,-10818
32-25,35223180,-14083
32-26,35227086,2567
32-27,35230992,9697
32-28,35234898,6195
32-29,35238804,6425
32-30,35242710,7890
32-31,35246616,-181
32-32,35250522,-15412
32-1,35254525,-20065
32-2,35258431,-9148
32-3,35262337,4978
32-4,35266243,8255
32-5,35270149,7334
32-6,35274055,8432
32-7,35277961,-4519
32-8,35281867,-14874
32-9,35285773,-1800
32-10,35289679,9209
32-11,35293585,7344
32-12,35297491,5812
32-13,35301397,8024
32-14,35305303,5571
32-15,35309209,-10281
32-16,35313115,-19062
32-17,35317021,-5614
32-18,35320927,7626
32-19,35324833,7809
32-20,35328739,6089
32-21,35332645,8756
32-22,35336551,1340
32-23,35340457,-15621
32-24,35344363,-13428
32-25,35348269,3408
32-26,35352175,8675
32-27,35356081,5963
32-28,35359987,7414
32-29,35363893,6627
32-30,35367799,-5894
32-31,35371705,-18293
32-32,35375611,-18780
32-1,35379431,-10551
32-2,35383337,1679
32-3,35387243,7599
32-4,35391149,8783
32-5,35395055,6212
32-6,35398961,-9454
32-7,35402867,-16604
32-8,35406773,-2466
32-9,35410679,8546
32-10,35414585,7783
32-11,35418491,6604
32-12,35422397,9009
32-13,35426303,2132
32-14,35430209,-14650
32-15,35434115,-16067
32-16,35438021,-998
32-17,35441927,8244
32-18,35445833,7280
32-19,35449739,7287
32-20,35453645,8519
32-21,35457551,-3700
32-22,35461457,-18437
32-23,35465363,-11973
32-24,35469269,3705
32-25,35473175,8699
32-26,35477081,6559
32-27,35480987,8209
32-28,35484893,6196
32-29,35488799,-8400
32-30,35492705,-18921
32-31,35496611,-14853
32-32,35500517,-2904
32-1,35504423,6679
32-2,35508329,8337
32-3,35512235,9012
32-4,35516141,2464
32-5,35520047,-13474
32-6,35523953,-19381
32-7,35527859,-11699
32-8,35531765,1102
32-9,35535671,8354
32-10,35539577,8598
32-11,35543483,9448
32-12,35547389,-1388
32-13,35551295,-15855
32-14,35555201,-7828
32-15,35559107,7166
32-16,35563013,9404
32-17,35566919,6895
32-18,35570825,8761
32-19,35574731,7682
32-20,35578637,-7514
32-21,35582543,-17375
32-22,35586449,-5198
32-23,35590355,8054
32-24,35594261,8718
32-25,35598167,6905
32-26,35602073,9146
32-27,35605979,3389
32-28,35609885,-12630
32-29,35613791,-17368
32-30,35617697,-8202
32-31,35621603,1529
32-32,35625509,6787
32-1,35629426,8846
32-2,35633332,9157
32-3,35637238,-1000
32-4,35641144,-15937
32-5,35645050,-18183
32-6,35648956,-8558
32-7,35652862,3915
32-8,35656768,8838
32-9,35660674,9260
32-10,35664580,8205
32-11,35668486,-6377
32-12,35672392,-16057
32-13,35676298,-3193
32-14,35680204,9141
32-15,35684110,9109
32-16,35688016,7382
32-17,35691922,9737
32-18,35695828,4830
32-19,35699734,-12122
32-20,35703640,-15809
32-21,35707546,-599
32-22,35711452,9334
32-23,35715358,8102
32-24,35719264,7466
32-25,35723170,9602
32-26,35727076,-533
32-27,35730982,-16153
32-28,35734888,-11922
32-29,35738794,2123
32-30,35742700,6880
32-31,35746606,6420
32-32,35750512,8597
32-1,35754424,7809
32-2,35758330,-5539
32-3,35762236,-17981
32-4,35766142,-16628
32-5,35770048,-6616
32-6,35773954,4705
32-7,35777860,8626
32-8,35781766,9711
32-9,35785672,5377
32-10,35789578,-11192
32-11,35793484,-14049
32-12,35797390,1912
32-13,35801296,10054
32-14,35805202,7904
32-15,35809108,7582
32-16,35813014,9813
32-17,35816920,820
32-18,35820826,-15279
32-19,35824732,-12197
32-20,35828638,3860
32-21,35832544,9712
32-22,35836450,7323
32-23,35840356,8265
32-24,35844262,8596
32-25,35848168,-5258
32-26,35852074,-17602
32-27,35855980,-7374
32-28,35859886,6990
32-29,35863792,8134
32-30,35867698,5573
32-31,35871604,8075
32-32,35875510,4849
32-1,35879422,-10164
32-2,35883328,-19260
32-3,35887234,-14912
32-4,35891140,-3634
32-5,35895046,6279
32-6,35898952,8713
32-7,35902858,9657
32-8,35906764,1197
32-9,35910670,-14893
32-10,35914576,-10775
32-11,35918482,5408
32-12,35922388,9825
32-13,35926294,7211
32-14,35930200,8225
32-15,35934106,8819
32-16,35938012,-4404
32-17,35941918,-17219
32-18,35945824,-7640
32-19,35949730,7018
32-20,35953636,9107
32-21,35957542,6739
32-22,35961448,8840
32-23,35965354,5860
32-24,35969260,-10455
32-25,35973166,-16681
32-26,35977072,-2297
32-27,35980978,8985
32-28,35984884,7752
32-29,35988790,6500
32-30,35992696,8182
32-31,35996602,-766
32-32,36000508,-15756
32-1,36004541,-18787
32-2,36008447,-10888
32-3,36012353,1339
32-4,36016259,8258
32-5,36020165,8761
32-6,36024071,8823
32-7,36027977,-3604
32-8,36031883,-16343
32-9,36035789,-6209
32-10,36039695,7857
32-11,36043601,9083
32-12,36047507,6923
32-13,36051413,9028
32-14,36055319,6431
32-15,36059225,-9515
32-16,36063131,-18135
32-17,36067037,-5977
32-18,36070943,7291
32-19,36074849,8638
32-20,36078755,6877
32-21,36082661,9479
32-22,36086567,2040
32-23,36090473,-14695
32-24,36094379,-12106
32-25,36098285,4220
32-26,36102191,9224
32-27,36106097,6671
32-28,36110003,7866
32-29,36113909,7179
32-30,36117815,-5195
32-31,36121721,-18169
32-32,36125627,-16477
32-1,36129417,-3817
32-2,36133323,6955
32-3,36137229,8306
32-4,36141135,8629
32-5,36145041,6459
32-6,36148947,-8436
32-7,36152853,-19128
32-8,36156759,-11471
32-9,36160665,2741
32-10,36164571,8888
32-11,36168477,7653
32-12,36172383,9330
32-13,36176289,3481
32-14,36180195,-13726
32-15,36184101,-15117
32-16,36188007,611
32-17,36191913,9296
32-18,36195819,7683
32-19,36199725,7684
32-20,36203631,9335
32-21,36207537,-2232
32-22,36211443,-16759
32-23,36215349,-9850
32-24,36219255,5635
32-25,36223161,9240
32-26,36227067,6805
32-27,36230973,8810
32-28,36234879,6655
32-29,36238785,-8029
32-30,36242691,-18625
32-31,36246597,-14772
32-32,36250503,-3002
32-1,36254415,6804
32-2,36258321,8748
32-3,36262227,9422
32-4,36266133,2818
32-5,36270039,-13129
32-6,36273945,-19006
32-7,36277851,-11601
32-8,36281757,1047
32-9,36285663,8558
32-10,36289569,9026
32-11,36293475,9820
32-12,36297381,-1371
32-13,36301287,-14610
32-14,36305193,-4813
32-15,36309099,8796
32-16,36313005,9158
32-17,36316911,7007
32-18,36320817,8837
32-19,36324723,7539
32-20,36328629,-7012
32-21,36332535,-17991
32-22,36336441,-7679
32-23,36340347,6619
32-24,36344253,9011
32-25,36348159,7103
32-26,36352065,9433
32-27,36355971,4182
32-28,36359877,-11989
32-29,36363783,-17034
32-30,36367689,-8062
32-31,36371595,1485
32-32,36375501,6803
32-1,36379412,9108
32-2,36383318,9250
32-3,36387224,-1275
32-4,36391130,-16010
32-5,36395036,-17974
32-6,36398942,-8591
32-7,36402848,3756
