32-1,255995491,9116
32-2,255999397,21863
32-3,256003303,20515
32-4,256007209,23028
32-5,256011115,-3599
32-6,256015021,-32768
32-7,256018927,-18996
32-8,256022833,16540
32-9,256026739,23107
32-10,256030645,17962
32-11,256034551,23595
32-12,256038457,18485
32-13,256042363,-16204
32-14,256046269,-32768
32-15,256050175,-17115
32-16,256054081,15613
32-17,256057987,22058
32-18,256061893,18373
32-19,256065799,23868
32-20,256069705,9828
32-21,256073611,-28051
32-22,256077517,-32768
32-23,256081423,-4246
32-24,256085329,21185
32-25,256089235,19963
32-26,256093141,19548
32-27,256097047,22458
32-28,256100953,-1921
32-29,256104859,-32768
32-30,256108765,-32176
32-31,256112671,1669
32-32,256116577,22391
32-1,256120489,19661
32-2,256124395,22382
32-3,256128301,18217
32-4,256132207,-13785
32-5,256136113,-32768
32-6,256140019,-28964
32-7,256143925,2442
32-8,256147831,21859
32-9,256151737,19985
32-10,256155643,23723
32-11,256159549,12142
32-12,256163455,-27592
32-13,256167361,-32344
32-14,256171267,4327
32-15,256175173,23761
32-16,256179079,19115
32-17,256182985,20201
32-18,256186891,24425
32-19,256190797,-231
32-20,256194703,-32768
32-21,256198609,-26417
32-22,256202515,10336
32-23,256206421,23598
32-24,256210327,17852
32-25,256214233,22773
32-26,256218139,19258
32-27,256222045,-12407
32-28,256225951,-32768
32-29,256229857,-32359
32-30,256233763,-7769
32-31,256237669,17108
32-32,256241575,21583
32-1,256245486,22596
32-2,256249392,12156
32-3,256253298,-23202
32-4,256257204,-32487
32-5,256261110,-15396
32-6,256265016,15761
32-7,256268922,22479
32-8,256272828,19650
32-9,256276734,24685
32-10,256280640,1846
32-11,256284546,-32768
32-12,256288452,-22770
32-13,256292358,14004
32-14,256296264,23540
32-15,256300170,18078
32-16,256304076,22721
32-17,256307982,19777
32-18,256311888,-11170
32-19,256315794,-32768
32-20,256319700,-26230
32-21,256323606,6887
32-22,256327512,22028
32-23,256331418,18615
32-24,256335324,23466
32-25,256339230,14161
32-26,256343136,-25900
32-27,256347042,-32768
32-28,256350948,3415
32-29,256354854,21219
32-30,256358760,15649
32-31,256362666,20173
32-32,256366572,24610
32-1,256370636,1543
32-2,256374542,-30379
32-3,256378448,-32768
32-4,256382354,-18350
32-5,256386260,11435
32-6,256390166,21430
32-7,256394072,20911
32-8,256397978,20635
