32-1,16008338,4088
32-2,16012244,25930
32-3,16016150,19279
32-4,16020056,-14083
32-5,16023962,-24978
32-6,16027868,-18585
32-7,16031774,-14566
32-8,16035680,-5769
32-9,16039586,12534
32-10,16043492,27257
32-11,16047398,8104
32-12,16051304,-20674
32-13,16055210,-20573
32-14,16059116,-6757
32-15,16063022,10725
32-16,16066928,25707
32-17,16070834,31514
32-18,16074740,29982
32-19,16078646,-747
32-20,16082552,-23802
32-21,16086458,-19925
32-22,16090364,-9574
32-23,16094270,5961
32-24,16098176,23538
32-25,16102082,31050
32-26,16105988,22109
32-27,16109894,-12466
32-28,16113800,-25376
32-29,16117706,-19905
32-30,16121612,-18965
32-31,16125518,-14521
32-32,16129424,3999
32-1,16133244,23218
32-2,16137150,7946
32-3,16141056,-20920
32-4,16144962,-23691
32-5,16148868,-19124
32-6,16152774,-18684
32-7,16156680,-12948
32-8,16160586,4350
32-9,16164492,15464
32-10,16168398,-4435
32-11,16172304,-22597
32-12,16176210,-15429
32-13,16180116,995
32-14,16184022,18919
32-15,16187928,29743
32-16,16191834,31933
32-17,16195740,24073
32-18,16199646,-9713
32-19,16203552,-24537
32-20,16207458,-17828
32-21,16211364,-10003
32-22,16215270,2108
32-23,16219176,20510
32-24,16223082,31722
32-25,16226988,13636
32-26,16230894,-18750
32-27,16234800,-22974
32-28,16238706,-15702
32-29,16242612,-14806
32-30,16246518,-11587
32-31,16250424,9838
32-32,16254330,26495
32-1,16258242,1786
32-2,16262148,-23441
32-3,16266054,-20904
32-4,16269960,-17861
32-5,16273866,-17248
32-6,16277772,-9011
32-7,16281678,9569
32-8,16285584,12820
32-9,16289490,-10851
32-10,16293396,-21321
32-11,16297302,-10388
32-12,16301208,6452
32-13,16305114,22900
32-14,16309020,32239
32-15,16312926,32305
32-16,16316832,16068
32-17,16320738,-16196
32-18,16324644,-22516
32-19,16328550,-14771
32-20,16332456,-6798
32-21,16336362,6842
32-22,16340268,25716
32-23,16344174,32044
32-24,16348080,4124
32-25,16351986,-22859
32-26,16355892,-18200
32-27,16359798,-7906
32-28,16363704,-3313
32-29,16367610,-128
32-30,16371516,11375
32-31,16375422,15719
32-32,16379328,-7731
32-1,16383240,-23576
32-2,16387146,-19158
32-3,16391052,-16793
32-4,16394958,-14376
32-5,16398864,-1434
32-6,16402770,17144
32-7,16406676,9639
32-8,16410582,-16377
32-9,16414488,-20311
32-10,16418394,-9156
32-11,16422300,6232
32-12,16426206,22710
32-13,16430112,32767
32-14,16434018,32358
32-15,16437924,6125
32-16,16441830,-20632
32-17,16445736,-19435
32-18,16449642,-10039
32-19,16453548,1819
32-20,16457454,18005
32-21,16461360,32252
32-22,16465266,27551
32-23,16469172,-5642
32-24,16473078,-23514
32-25,16476984,-17090
32-26,16480890,-4926
32-27,16484796,5781
32-28,16488702,10320
32-29,16492608,11948
32-30,16496514,-362
32-31,16500420,-18977
32-32,16504326,-21375
32-1,16508237,-18687
32-2,16512143,-17115
32-3,16516049,-12240
32-4,16519955,3238
32-5,16523861,18314
32-6,16527767,1998
32-7,16531673,-20314
32-8,16535579,-17929
32-9,16539485,-5645
32-10,16543391,10941
32-11,16547297,26240
32-12,16551203,32684
32-13,16555109,28834
32-14,16559015,-3262
32-15,16562921,-22426
32-16,16566827,-16827
32-17,16570733,-7556
32-18,16574639,5048
32-19,16578545,21942
32-20,16582451,32200
32-21,16586357,19667
32-22,16590263,-14451
32-23,16594169,-22628
32-24,16598075,-13737
32-25,16601981,-3981
32-26,16605887,13950
32-27,16609793,26875
32-28,16613699,20464
32-29,16617605,-2682
32-30,16621511,-20378
32-31,16625417,-21352
32-32,16629323,-18644
32-1,16633387,-16942
32-2,16637293,-10762
32-3,16641199,7438
32-4,16645105,15473
32-5,16649011,-6728
32-6,16652917,-22303
32-7,16656823,-16249
32-8,16660729,-6219
32-9,16664635,7315
32-10,16668541,23315
32-11,16672447,32570
32-12,16676353,21220
32-13,16680259,-12737
32-14,16684165,-22467
32-15,16688071,-13878
32-16,16691977,-3346
32-17,16695883,11814
32-18,16699789,28590
32-19,16703695,32046
32-20,16707601,9588
32-21,16711507,-20174
32-22,16715413,-21058
32-23,16719319,-11207
32-24,16723225,923
32-25,16727131,17480
32-26,16731037,31947
32-27,16734943,28727
32-28,16738849,-4571
32-29,16742755,-24052
32-30,16746661,-20045
32-31,16750567,-16799
32-32,16754473,-11822
32-1,16758232,2953
32-2,16762138,23856
32-3,16766044,17877
32-4,16769950,-13759
32-5,16773856,-24011
32-6,16777762,-18142
32-7,16781668,-14930
32-8,16785574,-7087
32-9,16789480,11219
32-10,16793386,27046
32-11,16797292,8776
32-12,16801198,-19844
32-13,16805104,-20491
32-14,16809010,-9956
32-15,16812916,2775
32-16,16816822,18551
32-17,16820728,32335
32-18,16824634,31080
32-19,16828540,-552
32-20,16832446,-23086
32-21,16836352,-18358
32-22,16840258,-7865
32-23,16844164,6646
32-24,16848070,23230
32-25,16851976,31789
32-26,16855882,23017
32-27,16859788,-11134
32-28,16863694,-23854
32-29,16867600,-18646
32-30,16871506,-17908
32-31,16875412,-13738
32-32,16879318,4733
32-1,16883230,24545
32-2,16887136,9698
32-3,16891042,-19326
32-4,16894948,-22313
32-5,16898854,-17489
32-6,16902760,-16045
32-7,16906666,-8212
32-8,16910572,11467
32-9,16914478,22101
32-10,16918384,-1417
32-11,16922290,-22222
32-12,16926196,-17294
32-13,16930102,-6733
32-14,16934008,7194
32-15,16937914,22999
32-16,16941820,32514
32-17,16945726,24945
32-18,16949632,-9086
32-19,16953538,-22827
32-20,16957444,-13419
32-21,16961350,2133
32-22,16965256,20040
32-23,16969162,31701
32-24,16973068,31687
32-25,16976974,14206
32-26,16980880,-17373
32-27,16984786,-23296
32-28,16988692,-17582
32-29,16992598,-17993
32-30,16996504,-17840
32-31,17000410,-3332
32-32,17004316,11988
32-1,17008228,-3214
32-2,17012134,-21989
32-3,17016040,-20218
32-4,17019946,-16590
32-5,17023852,-13171
32-6,17027758,-1442
32-7,17031664,19602
32-8,17035570,20118
32-9,17039476,-9114
32-10,17043382,-22382
32-11,17047288,-11825
32-12,17051194,3994
32-13,17055100,17794
32-14,17059006,25625
32-15,17062912,31913
32-16,17066818,15792
32-17,17070724,-15458
32-18,17074630,-22094
32-19,17078536,-14297
32-20,17082442,-6179
32-21,17086348,7657
32-22,17090254,26481
32-23,17094160,32283
32-24,17098066,4631
32-25,17101972,-22252
32-26,17105878,-15736
32-27,17109784,-2693
32-28,17113690,2509
32-29,17117596,5012
32-30,17121502,16162
32-31,17125408,19240
32-32,17129314,-6489
32-1,17133225,-23483
32-2,17137131,-19035
32-3,17141037,-17159
32-4,17144943,-15832
32-5,17148849,-4287
32-6,17152755,13732
32-7,17156661,7852
32-8,17160567,-16419
32-9,17164473,-19955
32-10,17168379,-9098
32-11,17172285,4519
32-12,17176191,19623
32-13,17180097,32642
32-14,17184003,32452
32-15,17187909,6484
32-16,17191815,-20445
32-17,17195721,-19623
32-18,17199627,-11555
32-19,17203533,-1134
32-20,17207439,15147
32-21,17211345,32433
32-22,17215251,27949
32-23,17219157,-5195
