32-1,12389724,18791
32-2,12393630,32767
32-3,12397536,28005
32-4,12401442,489
32-5,12405348,-31588
32-6,12409254,-32731
32-7,12413160,-27263
32-8,12417066,1824
32-9,12420972,22146
32-10,12424878,18759
32-11,12428784,-3538
32-12,12432690,-30187
32-13,12436596,-32096
32-14,12440502,-31695
32-15,12444408,-10354
32-16,12448314,17063
32-17,12452220,30189
32-18,12456126,22062
32-19,12460032,-4382
32-20,12463938,-31983
32-21,12467844,-31584
32-22,12471750,-31189
32-23,12475656,-2449
32-24,12479562,23067
32-25,12483468,28026
32-26,12487374,13451
32-27,12491280,-10959
32-28,12495186,-28424
32-29,12499092,-28825
32-30,12502998,-15080
32-31,12506904,7643
32-32,12510810,27046
32-1,12514783,32767
32-2,12518689,20089
32-3,12522595,-9346
32-4,12526501,-32344
32-5,12530407,-31940
32-6,12534313,-18879
32-7,12538219,10891
32-8,12542125,26517
32-9,12546031,17860
32-10,12549937,-7477
32-11,12553843,-31904
32-12,12557749,-31506
32-13,12561655,-30943
32-14,12565561,-2168
32-15,12569467,22655
32-16,12573373,29373
32-17,12577279,14766
32-18,12581185,-14176
32-19,12585091,-31358
32-20,12588997,-30966
32-21,12592903,-23436
32-22,12596809,7685
32-23,12600715,27992
32-24,12604621,25172
32-25,12608527,3417
32-26,12612433,-21198
32-27,12616339,-27392
32-28,12620245,-13588
32-29,12624151,9836
32-30,12628057,30656
32-31,12631963,32767
32-32,12635869,30056
32-1,12639719,9172
32-2,12643625,-21142
32-3,12647531,-32768
32-4,12651437,-32359
32-5,12655343,-10127
32-6,12659249,16680
32-7,12663155,23607
32-8,12667061,7764
32-9,12670967,-19292
32-10,12674873,-32190
32-11,12678779,-31787
32-12,12682685,-21868
32-13,12686591,7472
32-14,12690497,26746
32-15,12694403,26286
32-16,12698309,5144
32-17,12702215,-24563
32-18,12706121,-31633
32-19,12710027,-31238
32-20,12713933,-13252
32-21,12717839,15529
32-22,12721745,30582
32-23,12725651,21703
32-24,12729557,-7294
32-25,12733463,-31440
32-26,12737369,-31047
32-27,12741275,-18679
32-28,12745181,11948
32-29,12749087,32767
32-30,12752993,32358
32-31,12756899,30200
32-32,12760805,3470
32-1,12764717,-26089
32-2,12768623,-32768
32-3,12772529,-31326
32-4,12776435,-2901
32-5,12780341,21827
32-6,12784247,23993
32-7,12788153,4112
32-8,12792059,-24390
32-9,12795965,-32253
32-10,12799871,-31850
32-11,12803777,-15652
32-12,12807683,13323
32-13,12811589,28915
32-14,12815495,23259
32-15,12819401,-1623
32-16,12823307,-30868
32-17,12827213,-31671
32-18,12831119,-31275
32-19,12835025,-4933
32-20,12838931,21334
32-21,12842837,29069
32-22,12846743,15271
32-23,12850649,-13507
32-24,12854555,-31477
32-25,12858461,-31084
32-26,12862367,-26117
32-27,12866273,3034
32-28,12870179,28954
32-29,12874085,32767
32-30,12877991,25546
32-31,12881897,-4740
32-32,12885803,-32768
32-1,12889714,-32359
32-2,12893620,-25225
32-3,12897526,6455
32-4,12901432,30435
32-5,12905338,31140
32-6,12909244,9773
32-7,12913150,-22123
32-8,12917056,-32337
32-9,12920962,-31933
32-10,12924868,-10720
32-11,12928774,17421
32-12,12932680,27300
32-13,12936586,14330
32-14,12940492,-13143
32-15,12944398,-31976
32-16,12948304,-31576
32-17,12952210,-26074
32-18,12956116,3958
32-19,12960022,26946
32-20,12963928,30603
32-21,12967834,12725
32-22,12971740,-18024
32-23,12975646,-31560
32-24,12979552,-31166
32-25,12983458,-20487
32-26,12987364,8938
32-27,12991270,32573
32-28,12995176,32767
32-29,12999082,24740
32-30,13002988,-6870
32-31,13006894,-32768
32-32,13010800,-32359
32-1,13014712,-15355
32-2,13018618,10181
32-3,13022524,19353
32-4,13026430,4542
32-5,13030336,-21299
32-6,13034242,-31924
32-7,13038148,-31525
32-8,13042054,-21468
32-9,13045960,1625
32-10,13049866,22677
32-11,13053772,32767
32-12,13057678,32358
32-13,13061584,30370
32-14,13065490,3412
32-15,13069396,-18832
32-16,13073302,-22053
32-17,13077208,-6487
32-18,13081114,10471
32-19,13085020,10210
32-20,13088926,-10072
32-21,13092832,-32768
32-22,13096738,-32359
32-23,13100644,-31955
32-24,13104550,-11785
32-25,13108456,15375
32-26,13112362,32767
32-27,13116268,32358
32-28,13120174,17053
32-29,13124080,-14087
32-30,13127986,-32768
32-31,13131892,-32359
32-32,13135798,-12525
32-1,13139710,18413
32-2,13143616,32767
32-3,13147522,24434
32-4,13151428,-3585
32-5,13155334,-32768
32-6,13159240,-32359
32-7,13163146,-26802
32-8,13167052,3294
32-9,13170958,24545
32-10,13174864,23033
32-11,13178770,592
32-12,13182676,-29478
32-13,13186582,-31897
32-14,13190488,-31066
32-15,13194394,-8820
32-16,13198300,4379
32-17,13202206,-963
32-18,13206112,-16070
32-19,13210018,-28056
32-20,13213924,-28163
32-21,13217830,-14437
32-22,13221736,3527
32-23,13225642,16868
32-24,13229548,27810
32-25,13233454,32767
32-26,13237360,32358
32-27,13241266,31953
32-28,13245172,18725
32-29,13249078,-1089
32-30,13252984,-10500
32-31,13256890,-2051
32-32,13260796,13946
32-1,13264768,19172
32-2,13268674,4124
32-3,13272580,-23352
32-4,13276486,-32768
32-5,13280392,-32359
32-6,13284298,-17128
32-7,13288204,10932
32-8,13292110,25486
32-9,13296016,18633
32-10,13299922,-6312
32-11,13303828,-32352
32-12,13307734,-31947
32-13,13311640,-31538
32-14,13315546,-2621
32-15,13319452,22225
32-16,13323358,28786
32-17,13327264,13854
32-18,13331170,-15101
32-19,13335076,-31746
32-20,13338982,-31350
32-21,13342888,-23426
32-22,13346794,7881
32-23,13350700,28945
32-24,13354606,27291
32-25,13358512,6007
32-26,13362418,-19757
32-27,13366324,-27928
32-28,13370230,-15635
32-29,13374136,7481
32-30,13378042,29383
32-31,13381948,32767
32-32,13385854,30570
32-1,13389705,10144
32-2,13393611,-20061
32-3,13397517,-32768
32-4,13401423,-32359
32-5,13405329,-11601
32-6,13409235,15784
32-7,13413141,24120
32-8,13417047,9313
32-9,13420953,-17678
32-10,13424859,-32206
32-11,13428765,-31803
32-12,13432671,-23636
32-13,13436577,6020
32-14,13440483,27168
32-15,13444389,29285
32-16,13448295,9983
32-17,13452201,-20380
32-18,13456107,-31764
32-19,13460013,-31367
32-20,13463919,-16639
32-21,13467825,13137
32-22,13471731,30491
32-23,13475637,23754
32-24,13479543,-4271
32-25,13483449,-31558
32-26,13487355,-31163
32-27,13491261,-20117
32-28,13495167,10685
32-29,13499073,32767
32-30,13502979,32358
32-31,13506885,30362
32-32,13510791,3481
32-1,13514703,-25344
32-2,13518609,-32768
32-3,13522515,-32359
32-4,13526421,-5753
32-5,13530327,23947
32-6,13534233,32767
32-7,13538139,20309
32-8,13542045,-9986
32-9,13545951,-32768
32-10,13549857,-32359
32-11,13553763,-21588
32-12,13557669,8171
32-13,13561575,25148
32-14,13565481,18403
32-15,13569387,-5786
32-16,13573293,-32261
32-17,13577199,-31858
32-18,13581105,-31460
32-19,13585011,-4887
32-20,13588917,20884
32-21,13592823,29381
32-22,13596729,16644
32-23,13600635,-11945
32-24,13604541,-31695
32-25,13608447,-31299
32-26,13612353,-27805
32-27,13616259,768
32-28,13620165,27428
32-29,13624071,32767
32-30,13627977,27313
32-31,13631883,-2249
32-32,13635789,-31583
32-1,13639700,-32688
32-2,13643606,-26975
32-3,13647512,4480
32-4,13651418,29770
32-5,13655324,32201
32-6,13659230,12033
32-7,13663136,-19979
32-8,13667042,-32676
32-9,13670948,-32268
32-10,13674854,-12886
32-11,13678760,15818
32-12,13682666,26873
32-13,13686572,14696
32-14,13690478,-12246
32-15,13694384,-32270
