32-1,41767311,32195
32-2,41771217,20813
32-3,41775123,-4383
32-4,41779029,-26721
32-5,41782935,-30999
32-6,41786841,-12786
32-7,41790747,14150
32-8,41794653,28568
32-9,41798559,20251
32-10,41802465,-6374
32-11,41806371,-32768
32-12,41810277,-32668
32-13,41814183,-28454
32-14,41818089,-261
32-15,41821995,25962
32-16,41825901,32767
32-17,41829807,20344
32-18,41833713,-9383
32-19,41837619,-32768
32-20,41841525,-32359
32-21,41845431,-21254
32-22,41849337,10108
32-23,41853243,32470
32-24,41857149,30353
32-25,41861055,7697
32-26,41864961,-19451
32-27,41868867,-29479
32-28,41872773,-17110
32-29,41876679,6136
32-30,41880585,27101
32-31,41884491,32767
32-32,41888397,32358
32-1,41892308,16185
32-2,41896214,-9074
32-3,41900120,-27815
32-4,41904026,-25708
32-5,41907932,-3698
32-6,41911838,19692
32-7,41915744,25267
32-8,41919650,8196
32-9,41923556,-20934
32-10,41927462,-32768
32-11,41931368,-32359
32-12,41935274,-20394
32-13,41939180,9043
32-14,41943086,31855
32-15,41946992,32767
32-16,41950898,18848
32-17,41954804,-12759
32-18,41958710,-32768
32-19,41962616,-32359
32-20,41966522,-13852
32-21,41970428,17101
32-22,41974334,32767
32-23,41978240,29288
32-24,41982146,2316
32-25,41986052,-27051
32-26,41989958,-32768
32-27,41993864,-24120
32-28,41997770,3635
32-29,42001676,29509
32-30,42005582,32653
32-31,42009488,32245
32-32,42013394,8921
32-1,42017367,-17651
32-2,42021273,-31102
32-3,42025179,-24145
32-4,42029085,1601
32-5,42032991,27768
32-6,42036897,32272
32-7,42040803,22436
32-8,42044709,-8231
32-9,42048615,-32382
32-10,42052521,-32688
32-11,42056427,-12682
32-12,42060333,10299
32-13,42064239,16732
32-14,42068145,2184
32-15,42072051,-22573
32-16,42075957,-32551
32-17,42079863,-32144
32-18,42083769,-24437
32-19,42087675,-1344
32-20,42091581,21480
32-21,42095487,32767
32-22,42099393,32358
32-23,42103299,27188
32-24,42107205,2389
32-25,42111111,-16474
32-26,42115017,-17924
32-27,42118923,240
32-28,42122829,22320
32-29,42126735,28900
32-30,42130641,13027
32-31,42134547,-16136
32-32,42138453,-32768
32-1,42142304,-32359
32-2,42146210,-16870
32-3,42150116,10819
32-4,42154022,32767
32-5,42157928,32453
32-6,42161834,26770
32-7,42165740,29
32-8,42169646,-22631
32-9,42173552,-26063
32-10,42177458,-7877
32-11,42181364,17530
32-12,42185270,28687
32-13,42189176,16452
32-14,42193082,-12414
32-15,42196988,-32768
32-16,42200894,-32359
32-17,42204800,-24788
32-18,42208706,4467
32-19,42212612,29525
32-20,42216518,32767
32-21,42220424,21032
32-22,42224330,-9800
32-23,42228236,-32768
32-24,42232142,-32359
32-25,42236048,-18599
32-26,42239954,9530
32-27,42243860,32767
32-28,42247766,32682
32-29,42251672,30241
32-30,42255578,3869
32-31,42259484,-20236
32-32,42263390,-26949
32-1,42267301,-12954
32-2,42271207,13057
32-3,42275113,32433
32-4,42279019,32027
32-5,42282925,14874
32-6,42286831,-12507
32-7,42290737,-28675
32-8,42294643,-23082
32-9,42298549,-359
32-10,42302455,20810
32-11,42306361,22963
32-12,42310267,3151
32-13,42314173,-25394
32-14,42318079,-32768
32-15,42321985,-32359
32-16,42325891,-16327
32-17,42329797,12857
32-18,42333703,32767
32-19,42337609,32662
32-20,42341515,11823
32-21,42345421,-19589
32-22,42349327,-32768
32-23,42353233,-32359
32-24,42357139,-10178
32-25,42361045,17249
32-26,42364951,32767
32-27,42368857,32358
32-28,42372763,24819
32-29,42376669,6236
32-30,42380575,-7382
32-31,42384481,-11046
32-32,42388387,-1406
32-1,42392299,15191
32-2,42396205,24188
32-3,42400111,17176
32-4,42404017,-6463
32-5,42407923,-31009
32-6,42411829,-32768
32-7,42415735,-19279
32-8,42419641,8717
32-9,42423547,28004
32-10,42427453,24367
32-11,42431359,394
32-12,42435265,-28192
32-13,42439171,-32536
32-14,42443077,-32130
32-15,42446983,-8422
32-16,42450889,20351
32-17,42454795,32767
32-18,42458701,29242
32-19,42462607,3298
32-20,42466513,-26618
32-21,42470419,-32768
32-22,42474325,-28417
32-23,42478231,470
32-24,42482137,25748
32-25,42486043,30759
32-26,42489949,17070
32-27,42493855,-2357
32-28,42497761,-11198
32-29,42501667,-4202
32-30,42505573,9148
32-31,42509479,21641
32-32,42513385,27380
32-1,42517327,25678
32-2,42521233,13861
32-3,42525139,-9140
32-4,42529045,-29094
32-5,42532951,-31720
32-6,42536857,-13049
32-7,42540763,13807
32-8,42544669,28012
32-9,42548575,19263
32-10,42552481,-7460
32-11,42556387,-32768
32-12,42560293,-32359
32-13,42564199,-27506
32-14,42568105,1326
32-15,42572011,25794
32-16,42575917,30579
32-17,42579823,13347
32-18,42583729,-16623
32-19,42587635,-32293
32-20,42591541,-31890
32-21,42595447,-20706
32-22,42599353,8650
32-23,42603259,32767
32-24,42607165,32767
32-25,42611071,24715
32-26,42614977,-347
32-27,42618883,-16412
32-28,42622789,-12887
32-29,42626695,4104
32-30,42630601,23055
32-31,42634507,31758
32-32,42638413,25944
32-1,42642416,8180
32-2,42646322,-14927
32-3,42650228,-30763
32-4,42654134,-27286
32-5,42658040,-4903
32-6,42661946,20073
32-7,42665852,28676
32-8,42669758,13941
32-9,42673664,-15460
32-10,42677570,-32768
32-11,42681476,-32359
32-12,42685382,-21098
32-13,42689288,9077
32-14,42693194,30156
32-15,42697100,30187
32-16,42701006,8683
32-17,42704912,-22163
32-18,42708818,-32393
32-19,42712724,-31988
32-20,42716630,-11738
32-21,42720536,18417
32-22,42724442,32767
32-23,42728348,27092
32-24,42732254,-810
32-25,42736160,-29761
32-26,42740066,-32726
32-27,42743972,-22494
32-28,42747878,5143
32-29,42751784,29170
32-30,42755690,32659
32-31,42759596,32251
32-32,42763502,20083
32-1,42767292,-4772
32-2,42771198,-21309
32-3,42775104,-18601
32-4,42779010,2370
32-5,42782916,21400
32-6,42786822,21100
32-7,42790728,-336
32-8,42794634,-28874
32-9,42798540,-32768
32-10,42802446,-32359
32-11,42806352,-13096
32-12,42810258,16117
32-13,42814164,32767
32-14,42818070,32358
32-15,42821976,9029
32-16,42825882,-22504
32-17,42829788,-32768
32-18,42833694,-32359
32-19,42837600,-5756
32-20,42841506,23990
32-21,42845412,32767
32-22,42849318,25499
32-23,42853224,-3457
32-24,42857130,-31384
32-25,42861036,-32653
32-26,42864942,-25583
32-27,42868848,3048
32-28,42872754,29961
32-29,42876660,32767
32-30,42880566,29324
32-31,42884472,773
32-32,42888378,-26149
32-1,42892289,-32768
32-2,42896195,-19239
32-3,42900101,9077
32-4,42904007,32767
32-5,42907913,32358
32-6,42911819,24311
32-7,42915725,-3479
32-8,42919631,-25851
32-9,42923537,-27946
32-10,42927443,-8179
32-11,42931349,18079
32-12,42935255,29417
32-13,42939161,16929
32-14,42943067,-12240
32-15,42946973,-32768
32-16,42950879,-32359
32-17,42954785,-24541
32-18,42958691,5281
32-19,42962597,29667
32-20,42966503,32767
32-21,42970409,17445
32-22,42974315,-13893
32-23,42978221,-32768
32-24,42982127,-32359
32-25,42986033,-17600
32-26,42989939,10202
32-27,42993845,32657
32-28,42997751,32767
32-29,43001657,31411
32-30,43005563,6228
32-31,43009469,-17756
32-32,43013375,-25756
32-1,43017287,-12748
32-2,43021193,13441
32-3,43025099,32420
32-4,43029005,32015
32-5,43032911,13825
32-6,43036817,-14962
32-7,43040723,-31419
32-8,43044629,-25200
32-9,43048535,-547
32-10,43052441,23164
32-11,43056347,27560
32-12,43060253,8516
32-13,43064159,-22787
32-14,43068065,-32768
32-15,43071971,-32359
32-16,43075877,-12176
32-17,43079783,6519
32-18,43083689,7795
32-19,43087595,-7014
32-20,43091501,-27164
32-21,43095407,-31556
32-22,43099313,-31161
32-23,43103219,-22163
32-24,43107125,-364
32-25,43111031,21627
32-26,43114937,32767
32-27,43118843,32358
32-28,43122749,31953
32-29,43126655,23462
32-30,43130561,15747
32-31,43134467,8592
32-32,43138373,5672
32-1,43142285,8622
32-2,43146191,12903
32-3,43150097,10712
32-4,43154003,-4425
32-5,43157909,-24142
32-6,43161815,-32441
32-7,43165721,-20160
32-8,43169627,5993
32-9,43173533,25351
32-10,43177439,23533
32-11,43181345,1287
32-12,43185251,-26874
32-13,43189157,-32768
32-14,43193063,-32359
32-15,43196969,-9517
32-16,43200875,19146
32-17,43204781,32767
32-18,43208687,29557
32-19,43212593,4230
32-20,43216499,-25855
32-21,43220405,-32768
32-22,43224311,-27310
32-23,43228217,1397
32-24,43232123,24760
32-25,43236029,25780
32-26,43239935,7370
32-27,43243841,-14350
32-28,43247747,-22426
32-29,43251653,-12606
32-30,43255559,4946
32-31,43259465,21352
32-32,43263371,30943
32-1,43267648,32266
32-2,43271554,23157
32-3,43275460,-239
32-4,43279366,-22140
32-5,43283272,-27563
32-6,43287178,-11493
32-7,43291084,12966
32-8,43294990,25341
32-9,43298896,15905
32-10,43302802,-10531
32-11,43306708,-32768
32-12,43310614,-32359
32-13,43314520,-27758
32-14,43318426,-314
32-15,43322332,26191
32-16,43326238,32767
32-17,43330144,25535
32-18,43334050,-3266
32-19,43337956,-30864
32-20,43341862,-32662
32-21,43345768,-22543
32-22,43349674,8505
32-23,43353580,31835
32-24,43357486,30339
32-25,43361392,7896
32-26,43365298,-19081
32-27,43369204,-29121
32-28,43373110,-16556
32-29,43377016,6645
32-30,43380922,26774
32-31,43384828,32559
32-32,43388734,30242
32-1,43392280,14174
32-2,43396186,-9218
32-3,43400092,-27061
32-4,43403998,-26358
32-5,43407904,-5459
32-6,43411810,19769
32-7,43415716,29719
32-8,43419622,16326
32-9,43423528,-13217
32-10,43427434,-32768
32-11,43431340,-32359
32-12,43435246,-22711
32-13,43439152,7233
32-14,43443058,31088
32-15,43446964,32767
32-16,43450870,17965
32-17,43454776,-13284
32-18,43458682,-32768
32-19,43462588,-32359
32-20,43466494,-14498
32-21,43470400,16257
32-22,43474306,32767
32-23,43478212,29606
32-24,43482118,3079
32-25,43486024,-26438
32-26,43489930,-32768
32-27,43493836,-24151
32-28,43497742,3823
32-29,43501648,29862
32-30,43505554,32647
32-31,43509460,30815
32-32,43513366,5708
32-1,43517277,-21092
32-2,43521183,-32768
32-3,43525089,-25033
32-4,43528995,1873
32-5,43532901,28108
32-6,43536807,32704
32-7,43540713,20810
32-8,43544619,-9299
32-9,43548525,-32768
32-10,43552431,-32359
32-11,43556337,-16371
32-12,43560243,13892
32-13,43564149,32767
32-14,43568055,28966
32-15,43571961,3997
32-16,43575867,-26487
32-17,43579773,-32757
32-18,43583679,-32306
32-19,43587585,-4321
32-20,43591491,23661
32-21,43595397,32767
32-22,43599303,19310
32-23,43603209,-10327
32-24,43607115,-32768
32-25,43611021,-32359
32-26,43614927,-24800
32-27,43618833,4166
32-28,43622739,30275
32-29,43626645,32767
32-30,43630551,28565
32-31,43634457,-922
32-32,43638363,-27933
32-1,43642275,-32766
32-2,43646181,-19896
32-3,43650087,8672
32-4,43653993,32767
32-5,43657899,32358
32-6,43661805,28238
32-7,43665711,1280
32-8,43669617,-22388
32-9,43673523,-26830
32-10,43677429,-9000
32-11,43681335,16914
32-12,43685241,28885
32-13,43689147,17136
32-14,43693053,-11653
32-15,43696959,-32768
32-16,43700865,-32359
32-17,43704771,-25169
32-18,43708677,4409
32-19,43712583,28969
32-20,43716489,32767
32-21,43720395,17331
32-22,43724301,-13781
32-23,43728207,-32768
32-24,43732113,-32359
32-25,43736019,-18296
32-26,43739925,9473
32-27,43743831,32259
32-28,43747737,32767
32-29,43751643,31698
32-30,43755549,6458
32-31,43759455,-17780
32-32,43763361,-25971
32-1,43767273,-13103
32-2,43771179,13179
32-3,43775085,32425
32-4,43778991,32019
32-5,43782897,14986
32-6,43786803,-14180
32-7,43790709,-30815
32-8,43794615,-24189
32-9,43798521,-291
32-10,43802427,20896
32-11,43806333,21954
32-12,43810239,1305
32-13,43814145,-26988
32-14,43818051,-32768
32-15,43821957,-32359
32-16,43825863,-15911
32-17,43829769,13246
32-18,43833675,32767
32-19,43837581,32437
32-20,43841487,11754
32-21,43845393,-19844
32-22,43849299,-32768
32-23,43853205,-32359
32-24,43857111,-10083
32-25,43861017,18157
32-26,43864923,32767
32-27,43868829,32358
32-28,43872735,22126
32-29,43876641,439
32-30,43880547,-14584
32-31,43884453,-16447
32-32,43888359,-2544
32-1,43892423,19490
32-2,43896329,31845
32-3,43900235,28719
32-4,43904141,4356
32-5,43908047,-23561
32-6,43911953,-32768
32-7,43915859,-19585
32-8,43919765,7282
32-9,43923671,27067
32-10,43927577,24868
32-11,43931483,1775
32-12,43935389,-27017
32-13,43939295,-32768
32-14,43943201,-32359
32-15,43947107,-8270
32-16,43951013,20237
32-17,43954919,32767
32-18,43958825,24918
32-19,43962731,-2512
32-20,43966637,-31019
32-21,43970543,-32662
32-22,43974449,-27568
32-23,43978355,1804
32-24,43982261,26293
32-25,43986167,31169
32-26,43990073,18616
32-27,43993979,163
32-28,43997885,-8654
32-29,44001791,-2431
32-30,44005697,9853
32-31,44009603,21384
32-32,44013509,26978
32-1,44017299,26754
32-2,44021205,17470
32-3,44025111,-3489
32-4,44029017,-22809
32-5,44032923,-26196
32-6,44036829,-10555
32-7,44040735,10836
32-8,44044641,19253
32-9,44048547,7251
32-10,44052453,-18383
32-11,44056359,-32768
32-12,44060265,-32359
32-13,44064171,-26127
32-14,44068077,918
32-15,44071983,26546
32-16,44075889,32767
32-17,44079795,26191
32-18,44083701,-2804
32-19,44087607,-30322
32-20,44091513,-32683
32-21,44095419,-22764
32-22,44099325,8074
32-23,44103231,32621
32-24,44107137,32626
32-25,44111043,13094
32-26,44114949,-14236
32-27,44118855,-27050
32-28,44122761,-17662
32-29,44126667,4279
32-30,44130573,25642
32-31,44134479,32415
32-32,44138385,30435
32-1,44142266,12521
32-2,44146172,-12454
32-3,44150078,-30331
32-4,44153984,-27813
32-5,44157890,-4970
32-6,44161796,20726
32-7,44165702,29596
32-8,44169608,14838
32-9,44173514,-14996
32-10,44177420,-32768
32-11,44181326,-32359
32-12,44185232,-22445
32-13,44189138,7043
32-14,44193044,31465
32-15,44196950,32767
32-16,44200856,22592
32-17,44204762,-8517
32-18,44208668,-32768
32-19,44212574,-32359
32-20,44216480,-13509
32-21,44220386,15985
32-22,44224292,30905
32-23,44228198,19792
32-24,44232104,-9383
32-25,44236010,-32504
32-26,44239916,-32098
32-27,44243822,-21075
32-28,44247728,6315
32-29,44251634,29134
32-30,44255540,32767
32-31,44259446,32358
32-32,44263352,20572
32-1,44267263,-4311
32-2,44271169,-18521
32-3,44275075,-15849
32-4,44278981,-661
32-5,44282887,8903
32-6,44286793,1386
32-7,44290699,-18812
32-8,44294605,-32768
32-9,44298511,-32359
32-10,44302417,-30299
32-11,44306323,-9503
32-12,44310229,13693
32-13,44314135,32767
32-14,44318041,32475
32-15,44321947,32069
32-16,44325853,10774
32-17,44329759,-11059
32-18,44333665,-18174
32-19,44337571,-5327
32-20,44341477,16146
32-21,44345383,25608
32-22,44349289,13260
32-23,44353195,-14784
32-24,44357101,-32768
32-25,44361007,-32359
32-26,44364913,-23753
32-27,44368819,3217
32-28,44372725,28754
32-29,44376631,32767
32-30,44380537,32358
32-31,44384443,6123
32-32,44388349,-21556
32-1,44392261,-31683
32-2,44396167,-19581
32-3,44400073,7352
32-4,44403979,31266
32-5,44407885,32301
32-6,44411791,23717
32-7,44415697,-3335
32-8,44419603,-25110
32-9,44423509,-26976
32-10,44427415,-8024
32-11,44431321,16466
32-12,44435227,25963
32-13,44439133,12485
32-14,44443039,-16044
32-15,44446945,-32768
32-16,44450851,-32359
32-17,44454757,-24653
32-18,44458663,4141
32-19,44462569,29025
32-20,44466475,32767
32-21,44470381,22239
32-22,44474287,-8468
32-23,44478193,-32768
32-24,44482099,-32359
32-25,44486005,-19705
32-26,44489911,9007
32-27,44493817,32767
32-28,44497723,32693
32-29,44501629,27348
32-30,44505535,-475
32-31,44509441,-24532
32-32,44513347,-29964
32-1,44517259,-14122
32-2,44521165,13929
32-3,44525071,32629
32-4,44528977,32221
32-5,44532883,18913
32-6,44536789,-10105
32-7,44540695,-28723
32-8,44544601,-24843
32-9,44548507,-1650
32-10,44552413,22032
32-11,44556319,27008
32-12,44560225,8993
32-13,44564131,-20295
32-14,44568037,-32768
32-15,44571943,-32359
32-16,44575849,-16849
32-17,44579755,12763
32-18,44583661,31100
32-19,44587567,27767
32-20,44591473,3861
32-21,44595379,-26264
32-22,44599285,-32361
32-23,44603191,-31957
32-24,44607097,-9290
32-25,44611003,17469
32-26,44614909,32767
32-27,44618815,32358
32-28,44622721,29762
32-29,44626627,12973
32-30,44630533,-792
32-31,44634439,-7359
32-32,44638345,-2638
32-1,44642256,10422
32-2,44646162,20179
32-3,44650068,17464
32-4,44653974,-2071
32-5,44657880,-25756
32-6,44661786,-32768
32-7,44665692,-18953
32-8,44669598,6506
32-9,44673504,23192
32-10,44677410,17814
32-11,44681316,-5932
32-12,44685222,-32102
32-13,44689128,-32653
32-14,44693034,-32245
32-15,44696940,-8483
32-16,44700846,19540
32-17,44704752,32767
32-18,44708658,29227
32-19,44712564,3468
32-20,44716470,-26463
32-21,44720376,-32768
32-22,44724282,-28553
32-23,44728188,153
32-24,44732094,25514
32-25,44736000,31163
32-26,44739906,17298
32-27,44743812,-1618
32-28,44747718,-7600
32-29,44751624,666
32-30,44755530,8180
32-31,44759436,4210
32-32,44763342,-10887
32-1,44767284,-25291
32-2,44771190,-32529
32-3,44775096,-32122
32-4,44779002,-31721
32-5,44782908,-24566
32-6,44786814,-4908
32-7,44790720,18776
32-8,44794626,32767
32-9,44798532,32358
32-10,44802438,31953
32-11,44806344,23063
32-12,44810250,17448
32-13,44814156,14391
32-14,44818062,11403
32-15,44821968,5586
32-16,44825874,-4564
32-17,44829780,-17902
32-18,44833686,-32361
32-19,44837592,-32768
32-20,44841498,-32359
32-21,44845404,-18701
32-22,44849310,7362
32-23,44853216,30440
32-24,44857122,32767
32-25,44861028,28267
32-26,44864934,8573
32-27,44868840,-4485
32-28,44872746,-3264
32-29,44876652,6620
32-30,44880558,17050
32-31,44884464,21368
32-32,44888370,18203
32-1,44892251,7240
32-2,44896157,-9098
32-3,44900063,-22292
32-4,44903969,-21854
32-5,44907875,-4617
32-6,44911781,16839
32-7,44915687,25144
32-8,44919593,12670
32-9,44923499,-14777
32-10,44927405,-32768
32-11,44931311,-32359
32-12,44935217,-22086
32-13,44939123,7277
32-14,44943029,30539
32-15,44946935,32767
32-16,44950841,15392
32-17,44954747,-15622
32-18,44958653,-32767
32-19,44962559,-32357
32-20,44966465,-14008
32-21,44970371,16418
32-22,44974277,32767
32-23,44978183,29700
32-24,44982089,3503
32-25,44985995,-25938
32-26,44989901,-32768
32-27,44993807,-24075
32-28,44997713,3291
32-29,45001619,28994
32-30,45005525,32663
32-31,45009431,32255
32-32,45013337,10106
32-1,45017249,-16166
32-2,45021155,-30126
32-3,45025061,-23971
32-4,45028967,1039
32-5,45032873,26648
32-6,45036779,32255
32-7,45040685,20599
32-8,45044591,-8868
