32-1,35010359,-27345
32-2,35014265,-32768
32-3,35018171,-27282
32-4,35022077,1222
32-5,35025983,21102
32-6,35029889,22155
32-7,35033795,21873
32-8,35037701,-4499
32-9,35041607,-32768
32-10,35045513,-21307
32-11,35049419,14252
32-12,35053325,23242
32-13,35057231,18411
32-14,35061137,23858
32-15,35065043,16740
32-16,35068949,-16960
32-17,35072855,-32768
32-18,35076761,-26539
32-19,35080667,3747
32-20,35084573,21121
32-21,35088479,20337
32-22,35092385,23231
32-23,35096291,7933
32-24,35100197,-30275
32-25,35104103,-32606
32-26,35108009,2229
32-27,35111915,21427
32-28,35115821,15453
32-29,35119727,16068
32-30,35123633,19598
32-31,35127539,-6429
32-32,35131445,-32768
32-1,35135570,-32523
32-2,35139476,-32050
32-3,35143382,-13438
32-4,35147288,14645
32-5,35151194,27598
32-6,35155100,19788
32-7,35159006,-16847
32-8,35162912,-25996
32-9,35166818,11597
32-10,35170724,27657
32-11,35174630,20722
32-12,35178536,21432
32-13,35182442,26608
32-14,35186348,12470
32-15,35190254,-27133
32-16,35194160,-32768
32-17,35198066,4440
32-18,35201972,25918
32-19,35205878,20452
32-20,35209784,20772
32-21,35213690,26121
32-22,35217596,-1502
32-23,35221502,-32768
32-24,35225408,-15259
32-25,35229314,21388
32-26,35233220,24156
32-27,35237126,17968
32-28,35241032,24297
32-29,35244938,15620
32-30,35248844,-16488
32-31,35252750,-32768
32-32,35256656,-32359
32-1,35260354,-7971
32-2,35264260,19681
32-3,35268166,22013
32-4,35272072,24161
32-5,35275978,12331
32-6,35279884,-27659
32-7,35283790,-26013
32-8,35287696,12873
32-9,35291602,25047
32-10,35295508,18376
32-11,35299414,21210
32-12,35303320,23692
32-13,35307226,-441
32-14,35311132,-32768
32-15,35315038,-31612
32-16,35318944,3023
32-17,35322850,23056
32-18,35326756,19491
32-19,35330662,21857
32-20,35334568,20766
32-21,35338474,-13632
32-22,35342380,-32768
32-23,35346286,-13232
32-24,35350192,19353
32-25,35354098,21742
32-26,35358004,19019
32-27,35361910,24135
32-28,35365816,4480
32-29,35369722,-27478
32-30,35373628,-32768
32-31,35377534,-32359
32-32,35381440,-17188
32-1,35385351,11375
32-2,35389257,23159
32-3,35393163,22533
32-4,35397069,585
32-5,35400975,-32462
32-6,35404881,-28088
32-7,35408787,7203
32-8,35412693,22990
32-9,35416599,19008
32-10,35420505,22250
32-11,35424411,19878
32-12,35428317,-11847
32-13,35432223,-32701
32-14,35436129,-24602
32-15,35440035,7978
32-16,35443941,21855
32-17,35447847,18987
32-18,35451753,22917
32-19,35455659,11927
32-20,35459565,-24436
32-21,35463471,-32728
32-22,35467377,-12964
32-23,35471283,17054
32-24,35475189,21510
32-25,35479095,19966
32-26,35483001,23979
32-27,35486907,775
32-28,35490813,-30487
32-29,35494719,-32768
32-30,35498625,-26552
32-31,35502531,1176
32-32,35506437,20522
32-1,35510349,24279
32-2,35514255,18999
32-3,35518161,-11116
32-4,35522067,-32703
32-5,35525973,-32294
32-6,35529879,-19406
32-7,35533785,9731
32-8,35537691,22840
32-9,35541597,24182
32-10,35545503,14987
32-11,35549409,-22180
32-12,35553315,-32270
32-13,35557221,-3222
32-14,35561127,22872
32-15,35565033,21644
32-16,35568939,20432
32-17,35572845,25338
32-18,35576751,4380
32-19,35580657,-32401
32-20,35584563,-32521
32-21,35588469,1670
32-22,35592375,22997
32-23,35596281,20152
32-24,35600187,22342
32-25,35604093,22057
32-26,35607999,-8966
32-27,35611905,-32768
32-28,35615811,-32195
32-29,35619717,-14547
32-30,35623623,7073
32-31,35627529,20634
32-32,35631435,26403
32-1,35635347,13941
32-2,35639253,-19307
32-3,35643159,-32387
32-4,35647065,-31982
32-5,35650971,-12138
32-6,35654877,15711
32-7,35658783,24234
32-8,35662689,24666
32-9,35666595,6540
32-10,35670501,-30949
32-11,35674407,-29826
32-12,35678313,6466
32-13,35682219,24754
32-14,35686125,20902
32-15,35690031,22947
32-16,35693937,23831
32-17,35697843,-5885
32-18,35701749,-32728
32-19,35705655,-24528
32-20,35709561,10603
32-21,35713467,24241
32-22,35717373,19857
32-23,35721279,24622
32-24,35725185,17780
32-25,35729091,-19468
32-26,35732997,-32768
32-27,35736903,-15143
32-28,35740809,9358
