LED1 Timestamp (ms),LED1_PD1,LED1_PD2,LED2 Timestamp (ms),LED2_PD1,LED2_PD2
17000,8893,8190,17010,9037,8222
17020,9019,8156,17030,9003,8212
17040,9020,8236,17050,8971,8179
17060,8917,8227,17070,8893,8175
17080,8868,8196,17090,9027,8216
17100,8875,8193,17110,9042,8229
17120,9009,8162,17130,8968,8202
17140,9027,8224,17150,8963,8179
17160,8930,8235,17170,8938,8176
17180,8875,8204,17190,9026,8230
17200,8881,8197,17210,9025,8233
17220,8997,8193,17230,8972,8200
17240,9036,8228,17250,8956,8211
17260,8909,8237,17270,8964,8196
17280,8901,8217,17290,9036,8229
17300,8902,8199,17310,9055,8239
17320,9025,8176,17330,8983,8197
17340,9005,8237,17350,9004,8202
17360,8913,8231,17370,9005,8189
17380,8864,8197,17390,9023,8231
17400,8952,8187,17410,9044,8234
17420,9009,8178,17430,9006,8199
17440,9016,8230,17450,8964,8186
17460,8929,8264,17470,8955,8181
17480,8877,8193,17490,9021,8225
17500,8889,8193,17510,9033,8274
17520,8996,8179,17530,8974,8200
17540,8988,8238,17550,8936,8180
17560,8952,8231,17570,8979,8192
17580,8839,8207,17590,8987,8217
17600,8885,8186,17610,9033,8255
17620,9005,8182,17630,8963,8198
17640,8974,8235,17650,8930,8158
17660,8917,8268,17670,8915,8201
17680,8835,8185,17690,9021,8229
17700,8849,8126,17710,9058,8252
17720,8973,8194,17730,8965,8209
17740,8980,8233,17750,8860,8147
17760,8949,8250,17770,8948,8171
17780,8826,8199,17790,8983,8227
17800,8800,8131,17810,8985,8248
17820,8949,8223,17830,8899,8194
17840,8902,8222,17850,8812,8137
17860,8876,8256,17870,8881,8214
17880,8809,8197,17890,8946,8224
17900,8768,8110,17910,8978,8225
17920,8943,8215,17930,8874,8190
17940,8909,8232,17950,8790,8142
17960,8884,8246,17970,8904,8188
17980,8798,8197,17990,8941,8217
18000,8740,8140,18010,8961,8239
18020,8998,8211,18030,8913,8180
18040,8902,8236,18050,8798,8124
18060,8806,8259,18070,8907,8213
18080,8756,8195,18090,8895,8228
18100,8711,8124,18110,8958,8254
18120,8912,8197,18130,8862,8194
18140,8818,8239,18150,8691,8147
18160,8759,8254,18170,8797,8205
18180,8676,8206,18190,8821,8207
18200,8683,8114,18210,8886,8254
18220,8819,8185,18230,8790,8223
