32-1,40754299,20834
32-2,40758205,-863
32-3,40762111,-17157
32-4,40766017,-19132
32-5,40769923,-12262
32-6,40773829,-5836
32-7,40777735,-5036
32-8,40781641,-10701
32-9,40785547,-17885
32-10,40789453,-19368
32-11,40793359,-19126
32-12,40797265,-17338
32-13,40801171,-15691
32-14,40805077,-15189
32-15,40808983,-15867
32-16,40812889,-17246
32-17,40816795,-17872
32-18,40820701,-17648
32-19,40824607,-17143
32-20,40828513,-16398
32-21,40832419,-16148
32-22,40836325,-16031
32-23,40840231,-16255
32-24,40844137,-15766
32-25,40848043,-15615
32-26,40851949,-16013
32-27,40855855,-15813
32-28,40859761,-14157
32-29,40863667,-4729
32-30,40867573,4318
32-31,40871479,7266
32-32,40875385,172
32-1,40879296,-13342
32-2,40883202,-15361
32-3,40887108,-15169
32-4,40891014,1365
32-5,40894920,18431
32-6,40898826,24431
32-7,40902732,17371
32-8,40906638,352
32-9,40910544,-15754
32-10,40914450,-15557
32-11,40918356,-10294
32-12,40922262,7211
32-13,40926168,21579
32-14,40930074,22940
32-15,40933980,10586
32-16,40937886,-7205
32-17,40941792,-15925
32-18,40945698,-15726
32-19,40949604,-7671
32-20,40953510,-1091
32-21,40957416,-617
32-22,40961322,-6197
32-23,40965228,-13531
32-24,40969134,-15167
32-25,40973040,-14977
32-26,40976946,-13914
32-27,40980852,-12864
32-28,40984758,-9252
32-29,40988664,-2226
32-30,40992570,5646
32-31,40996476,5070
32-32,41000382,-5263
32-1,41004294,-13729
32-2,41008200,-10285
32-3,41012106,7180
32-4,41016012,25639
32-5,41019918,29289
32-6,41023824,16699
32-7,41027730,-2960
32-8,41031636,-15031
32-9,41035542,-14843
32-10,41039448,-7566
32-11,41043354,-195
32-12,41047260,1320
32-13,41051166,-4200
32-14,41055072,-11926
32-15,41058978,-14377
32-16,41062884,-14198
32-17,41066790,-12587
32-18,41070696,-10804
32-19,41074602,-10636
32-20,41078508,-11499
32-21,41082414,-12818
32-22,41086320,-13292
32-23,41090226,-13126
32-24,41094132,-12333
32-25,41098038,-11788
32-26,41101944,-12505
32-27,41105850,-12505
32-28,41109756,-10438
32-29,41113662,-6116
32-30,41117568,-6082
32-31,41121474,-10043
32-32,41125380,-11144
32-1,41129292,-2433
32-2,41133198,14563
32-3,41137104,27622
32-4,41141010,26145
32-5,41144916,10302
32-6,41148822,-7797
32-7,41152728,-12659
32-8,41156634,-12181
32-9,41160540,-5491
32-10,41164446,-2080
32-11,41168352,-3694
32-12,41172258,-8598
32-13,41176164,-12101
32-14,41180070,-11950
32-15,41183976,-11800
32-16,41187882,-9662
32-17,41191788,-8843
32-18,41195694,-8849
32-19,41199600,-9818
32-20,41203506,-10962
32-21,41207412,-11052
32-22,41211318,-10914
32-23,41215224,-10229
32-24,41219130,-9455
32-25,41223036,-9102
32-26,41226942,-9994
32-27,41230848,-9447
32-28,41234754,-8086
32-29,41238660,-9628
32-30,41242566,-9955
32-31,41246472,-6695
32-32,41250378,6017
32-1,41254289,22446
32-2,41258195,30723
32-3,41262101,24669
32-4,41266007,7377
32-5,41269913,-9371
32-6,41273819,-10771
32-7,41277725,-7386
32-8,41281631,-32
32-9,41285537,2629
32-10,41289443,-823
32-11,41293349,-7312
32-12,41297255,-10476
32-13,41301161,-10345
32-14,41305067,-9594
32-15,41308973,-7533
32-16,41312879,-7172
32-17,41316785,-7572
32-18,41320691,-8698
32-19,41324597,-9709
32-20,41328503,-9588
32-21,41332409,-9468
32-22,41336315,-8546
32-23,41340221,-7811
32-24,41344127,-7223
32-25,41348033,-7583
32-26,41351939,-7342
32-27,41355845,-8575
32-28,41359751,-8763
32-29,41363657,-8654
32-30,41367563,-1234
32-31,41371469,17351
32-32,41375375,32767
32-1,41379287,32767
32-2,41383193,20202
32-3,41387099,-134
32-4,41391005,-14915
32-5,41394911,-14729
32-6,41398817,-9946
32-7,41402723,-4137
32-8,41406629,-3059
32-9,41410535,-7069
32-10,41414441,-12520
32-11,41418347,-14087
32-12,41422253,-13911
32-13,41426159,-12949
32-14,41430065,-12049
32-15,41433971,-11955
32-16,41437877,-12171
32-17,41441783,-12722
32-18,41445689,-12965
32-19,41449595,-12803
32-20,41453501,-12483
32-21,41457407,-12182
32-22,41461313,-11945
32-23,41465219,-11863
32-24,41469125,-11547
32-25,41473031,-9954
32-26,41476937,-11463
32-27,41480843,-11627
32-28,41484749,-11482
32-29,41488655,-5347
32-30,41492561,14383
32-31,41496467,32276
32-32,41500373,32767
32-1,41504285,20210
32-2,41508191,-303
32-3,41512097,-14695
32-4,41516003,-15625
32-5,41519909,-9317
32-6,41523815,-4042
32-7,41527721,-3657
32-8,41531627,-8571
32-9,41535533,-14318
32-10,41539439,-15097
32-11,41543345,-14908
32-12,41547251,-13231
32-13,41551157,-12101
32-14,41555063,-12047
32-15,41558969,-12721
32-16,41562875,-13711
32-17,41566781,-13926
32-18,41570687,-13752
32-19,41574593,-13096
32-20,41578499,-12098
32-21,41582405,-11522
32-22,41586311,-11530
32-23,41590217,-12305
32-24,41594123,-12245
32-25,41598029,-12309
32-26,41601935,-12518
32-27,41605841,-12362
32-28,41609747,-10870
32-29,41613653,-3218
32-30,41617559,3585
32-31,41621465,5201
32-32,41625371,-1187
32-1,41629282,-12127
32-2,41633188,-11975
32-3,41637094,-11826
32-4,41641000,5223
32-5,41644906,20837
32-6,41648812,24938
32-7,41652718,15045
32-8,41656624,-2351
32-9,41660530,-12475
32-10,41664436,-12319
32-11,41668342,-8555
32-12,41672248,-3226
32-13,41676154,-2491
32-14,41680060,-5948
32-15,41683966,-10502
32-16,41687872,-11782
32-17,41691778,-11635
32-18,41695684,-10520
32-19,41699590,-9088
32-20,41703496,-8734
32-21,41707402,-9187
32-22,41711308,-10164
32-23,41715214,-10894
32-24,41719120,-10758
32-25,41723026,-9948
32-26,41726932,-10499
32-27,41730838,-10368
32-28,41734744,-7653
32-29,41738650,376
32-30,41742556,9318
32-31,41746462,9134
32-32,41750368,-1162
32-1,41754280,-9905
32-2,41758186,-6491
32-3,41762092,10946
32-4,41765998,28750
32-5,41769904,31720
32-6,41773810,18889
32-7,41777716,-530
32-8,41781622,-11283
32-9,41785528,-11142
32-10,41789434,-4912
32-11,41793340,1323
32-12,41797246,2092
32-13,41801152,-2961
32-14,41805058,-9502
32-15,41808964,-10829
32-16,41812870,-10694
32-17,41816776,-8521
32-18,41820682,-6290
32-19,41824588,-5931
32-20,41828494,-7208
32-21,41832400,-9287
32-22,41836306,-10096
32-23,41840212,-9970
32-24,41844118,-9040
32-25,41848024,-8290
32-26,41851930,-9415
32-27,41855836,-9511
