32-1,23434772,-9
32-2,23438678,-28
32-3,23442584,-62
32-4,23446490,-98
32-5,23450396,-116
32-6,23454302,-111
32-7,23458208,-93
32-8,23462114,-83
32-9,23466020,-81
32-10,23469926,-83
32-11,23473832,-77
32-12,23477738,-63
32-13,23481644,-47
32-14,23485550,-31
32-15,23489456,-8
32-16,23493362,26
32-17,23497268,62
32-18,23501174,91
32-19,23505080,100
32-20,23508986,90
32-21,23512892,77
32-22,23516798,71
32-23,23520704,76
32-24,23524610,78
32-25,23528516,58
32-26,23532422,18
32-27,23536328,-25
32-28,23540234,-48
32-29,23544140,-47
32-30,23548046,-42
32-31,23551952,-50
32-32,23555858,-72
32-1,23559892,-98
32-2,23563798,-105
32-3,23567704,-84
32-4,23571610,-58
32-5,23575516,-50
32-6,23579422,-54
32-7,23583328,-47
32-8,23587234,-24
32-9,23591140,-8
32-10,23595046,-19
32-11,23598952,-43
32-12,23602858,-53
32-13,23606764,-46
32-14,23610670,-41
32-15,23614576,-60
32-16,23618482,-90
32-17,23622388,-84
32-18,23626294,-29
32-19,23630200,35
32-20,23634106,73
32-21,23638012,78
32-22,23641918,63
32-23,23645824,54
32-24,23649730,59
32-25,23653636,74
32-26,23657542,87
32-27,23661448,71
32-28,23665354,34
32-29,23669260,-4
32-30,23673166,-36
32-31,23677072,-62
32-32,23680978,-91
32-1,23684767,-132
32-2,23688673,-170
32-3,23692579,-192
32-4,23696485,-189
32-5,23700391,-169
32-6,23704297,-149
32-7,23708203,-131
32-8,23712109,-116
32-9,23716015,-109
32-10,23719921,-111
32-11,23723827,-119
32-12,23727733,-122
32-13,23731639,-105
32-14,23735545,-67
32-15,23739451,-13
32-16,23743357,36
32-17,23747263,61
32-18,23751169,63
32-19,23755075,51
32-20,23758981,34
32-21,23762887,31
32-22,23766793,51
32-23,23770699,82
32-24,23774605,94
32-25,23778511,78
32-26,23782417,38
32-27,23786323,2
32-28,23790229,-20
32-29,23794135,-30
32-30,23798041,-28
32-31,23801947,-24
32-32,23805853,-27
32-1,23809765,-39
32-2,23813671,-59
32-3,23817577,-78
32-4,23821483,-85
32-5,23825389,-77
32-6,23829295,-66
32-7,23833201,-62
32-8,23837107,-63
32-9,23841013,-53
32-10,23844919,-27
32-11,23848825,10
32-12,23852731,34
32-13,23856637,36
32-14,23860543,25
32-15,23864449,6
32-16,23868355,-3
32-17,23872261,5
32-18,23876167,18
32-19,23880073,30
32-20,23883979,40
32-21,23887885,47
32-22,23891791,54
