32-1,415802339,-88
32-2,415806245,-86
32-3,415810151,-99
32-4,415814057,-142
32-5,415817963,-200
32-6,415821869,-243
32-7,415825775,-251
32-8,415829681,-217
32-9,415833587,-161
32-10,415837493,-111
32-11,415841399,-92
32-12,415845305,-116
32-13,415849211,-179
32-14,415853117,-239
32-15,415857023,-265
32-16,415860929,-268
32-17,415864835,-255
32-18,415868741,-231
32-19,415872647,-200
32-20,415876553,-170
32-21,415880459,-147
32-22,415884365,-127
32-23,415888271,-90
32-24,415892177,-41
32-25,415896083,16
32-26,415899989,60
32-27,415903895,75
32-28,415907801,51
32-29,415911707,-2
32-30,415915613,-48
32-31,415919519,-65
32-32,415923425,-37
32-1,415927337,4
32-2,415931243,13
32-3,415935149,-25
32-4,415939055,-85
32-5,415942961,-105
32-6,415946867,-48
32-7,415950773,50
32-8,415954679,131
32-9,415958585,163
32-10,415962491,144
32-11,415966397,111
32-12,415970303,86
32-13,415974209,82
32-14,415978115,92
32-15,415982021,82
32-16,415985927,44
32-17,415989833,-11
32-18,415993739,-57
32-19,415997645,-73
32-20,416001551,-63
32-21,416005457,-57
32-22,416009363,-83
32-23,416013269,-132
32-24,416017175,-180
32-25,416021081,-215
32-26,416024987,-227
32-27,416028893,-230
32-28,416032799,-227
32-29,416036705,-200
32-30,416040611,-148
32-31,416044517,-72
32-32,416048423,-9
32-1,416052334,10
32-2,416056240,-6
32-3,416060146,-32
32-4,416064052,-35
32-5,416067958,3
32-6,416071864,46
32-7,416075770,59
32-8,416079676,45
32-9,416083582,12
32-10,416087488,-18
32-11,416091394,-34
32-12,416095300,-30
32-13,416099206,-16
32-14,416103112,-14
32-15,416107018,-29
32-16,416110924,-56
32-17,416114830,-85
32-18,416118736,-107
32-19,416122642,-115
32-20,416126548,-105
32-21,416130454,-97
32-22,416134360,-106
32-23,416138266,-131
32-24,416142172,-156
32-25,416146078,-168
32-26,416149984,-153
32-27,416153890,-107
32-28,416157796,-32
32-29,416161702,46
32-30,416165608,96
32-31,416169514,97
32-32,416173420,48
32-1,416177332,-31
32-2,416181238,-104
32-3,416185144,-150
32-4,416189050,-181
32-5,416192956,-196
32-6,416196862,-192
32-7,416200768,-180
32-8,416204674,-165
32-9,416208580,-156
32-10,416212486,-138
32-11,416216392,-104
32-12,416220298,-75
32-13,416224204,-72
32-14,416228110,-112
32-15,416232016,-186
32-16,416235922,-252
32-17,416239828,-276
32-18,416243734,-254
32-19,416247640,-190
32-20,416251546,-118
32-21,416255452,-65
32-22,416259358,-40
32-23,416263264,-37
32-24,416267170,-33
32-25,416271076,-22
32-26,416274982,-3
32-27,416278888,15
32-28,416282794,16
32-29,416286700,6
32-30,416290606,-10
32-31,416294512,-25
32-32,416298418,-40
32-1,416302330,-54
32-2,416306236,-48
32-3,416310142,-32
32-4,416314048,-25
32-5,416317954,-35
32-6,416321860,-66
32-7,416325766,-104
